category,image_path,num_candidate_boxes
grid,datasets/MVTecAD/grid/test/bent/000.png,3
grid,datasets/MVTecAD/grid/test/bent/002.png,1
grid,datasets/MVTecAD/grid/test/bent/003.png,1
grid,datasets/MVTecAD/grid/test/bent/004.png,2
grid,datasets/MVTecAD/grid/test/bent/007.png,1
grid,datasets/MVTecAD/grid/test/bent/009.png,1
grid,datasets/MVTecAD/grid/test/bent/011.png,2
grid,datasets/MVTecAD/grid/test/broken/002.png,1
grid,datasets/MVTecAD/grid/test/broken/003.png,2
grid,datasets/MVTecAD/grid/test/broken/004.png,1
grid,datasets/MVTecAD/grid/test/glue/001.png,1
grid,datasets/MVTecAD/grid/test/glue/004.png,1
grid,datasets/MVTecAD/grid/test/glue/005.png,1
grid,datasets/MVTecAD/grid/test/glue/007.png,1
grid,datasets/MVTecAD/grid/test/glue/009.png,1
grid,datasets/MVTecAD/grid/test/metal_contamination/001.png,1
grid,datasets/MVTecAD/grid/test/metal_contamination/003.png,2
grid,datasets/MVTecAD/grid/test/metal_contamination/004.png,1
grid,datasets/MVTecAD/grid/test/metal_contamination/005.png,1
grid,datasets/MVTecAD/grid/test/metal_contamination/007.png,1
grid,datasets/MVTecAD/grid/test/metal_contamination/008.png,1
grid,datasets/MVTecAD/grid/test/metal_contamination/009.png,1
grid,datasets/MVTecAD/grid/test/metal_contamination/010.png,1
grid,datasets/MVTecAD/grid/test/thread/001.png,1
grid,datasets/MVTecAD/grid/test/thread/004.png,2
grid,datasets/MVTecAD/grid/test/thread/006.png,1
grid,datasets/MVTecAD/grid/test/thread/008.png,1
grid,datasets/MVTecAD/grid/test/thread/009.png,2
leather,datasets/MVTecAD/leather/test/color/001.png,1
leather,datasets/MVTecAD/leather/test/color/002.png,1
leather,datasets/MVTecAD/leather/test/color/003.png,1
leather,datasets/MVTecAD/leather/test/color/004.png,1
leather,datasets/MVTecAD/leather/test/color/005.png,1
leather,datasets/MVTecAD/leather/test/color/006.png,1
leather,datasets/MVTecAD/leather/test/color/008.png,1
leather,datasets/MVTecAD/leather/test/color/011.png,1
leather,datasets/MVTecAD/leather/test/color/014.png,1
leather,datasets/MVTecAD/leather/test/color/017.png,1
leather,datasets/MVTecAD/leather/test/color/018.png,1
leather,datasets/MVTecAD/leather/test/cut/003.png,1
leather,datasets/MVTecAD/leather/test/cut/004.png,1
leather,datasets/MVTecAD/leather/test/cut/005.png,1
leather,datasets/MVTecAD/leather/test/cut/006.png,1
leather,datasets/MVTecAD/leather/test/cut/008.png,1
leather,datasets/MVTecAD/leather/test/cut/009.png,1
leather,datasets/MVTecAD/leather/test/cut/010.png,1
leather,datasets/MVTecAD/leather/test/cut/011.png,1
leather,datasets/MVTecAD/leather/test/cut/012.png,1
leather,datasets/MVTecAD/leather/test/cut/014.png,1
leather,datasets/MVTecAD/leather/test/cut/018.png,1
leather,datasets/MVTecAD/leather/test/fold/001.png,1
leather,datasets/MVTecAD/leather/test/fold/004.png,1
leather,datasets/MVTecAD/leather/test/fold/009.png,1
leather,datasets/MVTecAD/leather/test/fold/011.png,1
leather,datasets/MVTecAD/leather/test/fold/015.png,1
leather,datasets/MVTecAD/leather/test/fold/016.png,1
leather,datasets/MVTecAD/leather/test/glue/001.png,1
leather,datasets/MVTecAD/leather/test/glue/004.png,1
leather,datasets/MVTecAD/leather/test/glue/007.png,1
leather,datasets/MVTecAD/leather/test/glue/008.png,1
leather,datasets/MVTecAD/leather/test/glue/009.png,1
leather,datasets/MVTecAD/leather/test/glue/011.png,1
leather,datasets/MVTecAD/leather/test/glue/014.png,1
leather,datasets/MVTecAD/leather/test/glue/016.png,1
leather,datasets/MVTecAD/leather/test/poke/000.png,1
leather,datasets/MVTecAD/leather/test/poke/004.png,1
leather,datasets/MVTecAD/leather/test/poke/005.png,1
leather,datasets/MVTecAD/leather/test/poke/007.png,1
leather,datasets/MVTecAD/leather/test/poke/009.png,1
leather,datasets/MVTecAD/leather/test/poke/011.png,1
leather,datasets/MVTecAD/leather/test/poke/012.png,1
leather,datasets/MVTecAD/leather/test/poke/013.png,1
leather,datasets/MVTecAD/leather/test/poke/015.png,1
leather,datasets/MVTecAD/leather/test/poke/017.png,1
screw,datasets/MVTecAD/screw/test/manipulated_front/004.png,1
screw,datasets/MVTecAD/screw/test/manipulated_front/009.png,2
screw,datasets/MVTecAD/screw/test/manipulated_front/010.png,2
screw,datasets/MVTecAD/screw/test/manipulated_front/011.png,1
screw,datasets/MVTecAD/screw/test/manipulated_front/012.png,2
screw,datasets/MVTecAD/screw/test/manipulated_front/013.png,2
screw,datasets/MVTecAD/screw/test/manipulated_front/015.png,1
screw,datasets/MVTecAD/screw/test/manipulated_front/016.png,1
screw,datasets/MVTecAD/screw/test/manipulated_front/020.png,1
screw,datasets/MVTecAD/screw/test/manipulated_front/022.png,3
screw,datasets/MVTecAD/screw/test/scratch_head/001.png,1
screw,datasets/MVTecAD/screw/test/scratch_head/007.png,1
screw,datasets/MVTecAD/screw/test/scratch_head/009.png,2
screw,datasets/MVTecAD/screw/test/scratch_head/012.png,2
screw,datasets/MVTecAD/screw/test/scratch_head/014.png,1
screw,datasets/MVTecAD/screw/test/scratch_head/015.png,1
screw,datasets/MVTecAD/screw/test/scratch_head/016.png,1
screw,datasets/MVTecAD/screw/test/scratch_head/018.png,1
screw,datasets/MVTecAD/screw/test/scratch_head/020.png,1
screw,datasets/MVTecAD/screw/test/scratch_head/022.png,1
screw,datasets/MVTecAD/screw/test/scratch_head/023.png,1
screw,datasets/MVTecAD/screw/test/scratch_neck/000.png,1
screw,datasets/MVTecAD/screw/test/scratch_neck/001.png,1
screw,datasets/MVTecAD/screw/test/scratch_neck/002.png,2
screw,datasets/MVTecAD/screw/test/scratch_neck/005.png,2
screw,datasets/MVTecAD/screw/test/scratch_neck/009.png,1
screw,datasets/MVTecAD/screw/test/scratch_neck/010.png,1
screw,datasets/MVTecAD/screw/test/scratch_neck/011.png,1
screw,datasets/MVTecAD/screw/test/scratch_neck/012.png,1
screw,datasets/MVTecAD/screw/test/scratch_neck/015.png,1
screw,datasets/MVTecAD/screw/test/scratch_neck/016.png,1
screw,datasets/MVTecAD/screw/test/scratch_neck/019.png,1
screw,datasets/MVTecAD/screw/test/scratch_neck/020.png,1
screw,datasets/MVTecAD/screw/test/scratch_neck/021.png,1
screw,datasets/MVTecAD/screw/test/scratch_neck/024.png,1
screw,datasets/MVTecAD/screw/test/thread_side/000.png,2
screw,datasets/MVTecAD/screw/test/thread_side/002.png,2
screw,datasets/MVTecAD/screw/test/thread_side/003.png,2
