category,image_path,component_rank,threshold,x1,y1,x2,y2,cx,cy,area,mean_score,max_score,gt_iou,gt_f1,visual_path
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/000.png,1,0.7999999999999999,63,172,83,193,72.81,183.03,367,0.897634,1.000000,0.117925,0.210970,results/analysis/patchcore_candidate_regions/MVTecAD/grid/candidate_regions/grid_0001_candidates.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/000.png,2,0.7999999999999999,49,61,59,71,53.83,65.90,87,0.823784,0.847728,0.200557,0.334107,results/analysis/patchcore_candidate_regions/MVTecAD/grid/candidate_regions/grid_0001_candidates.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/000.png,3,0.7999999999999999,178,93,183,98,180.72,95.59,29,0.808877,0.817311,0.081159,0.150134,results/analysis/patchcore_candidate_regions/MVTecAD/grid/candidate_regions/grid_0001_candidates.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/002.png,1,0.7999999999999999,89,43,111,63,100.03,52.99,373,0.895014,1.000000,0.203320,0.337931,results/analysis/patchcore_candidate_regions/MVTecAD/grid/candidate_regions/grid_0002_candidates.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/003.png,1,0.7999999999999999,111,17,138,43,124.43,29.99,596,0.897570,1.000000,0.137405,0.241611,results/analysis/patchcore_candidate_regions/MVTecAD/grid/candidate_regions/grid_0003_candidates.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/004.png,1,0.7999999999999999,154,174,174,199,163.99,186.41,441,0.893074,0.996977,0.277778,0.434783,results/analysis/patchcore_candidate_regions/MVTecAD/grid/candidate_regions/grid_0004_candidates.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/004.png,2,0.7999999999999999,20,102,43,123,31.86,112.43,423,0.895135,1.000000,0.213750,0.352214,results/analysis/patchcore_candidate_regions/MVTecAD/grid/candidate_regions/grid_0004_candidates.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/007.png,1,0.7999999999999999,11,39,41,63,26.08,51.55,623,0.898434,1.000000,0.430512,0.601899,results/analysis/patchcore_candidate_regions/MVTecAD/grid/candidate_regions/grid_0005_candidates.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/009.png,1,0.7999999999999999,54,31,96,77,75.14,54.78,1237,0.906224,1.000000,0.204622,0.339729,results/analysis/patchcore_candidate_regions/MVTecAD/grid/candidate_regions/grid_0006_candidates.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/011.png,1,0.7999999999999999,128,38,153,66,140.56,52.17,569,0.896705,1.000000,0.253942,0.405030,results/analysis/patchcore_candidate_regions/MVTecAD/grid/candidate_regions/grid_0007_candidates.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/bent/011.png,2,0.7999999999999999,140,125,154,136,146.92,130.33,146,0.819318,0.838996,0.065622,0.123162,results/analysis/patchcore_candidate_regions/MVTecAD/grid/candidate_regions/grid_0007_candidates.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/broken/002.png,1,0.7999999999999999,73,115,100,143,86.01,129.32,654,0.892062,1.000000,0.136086,0.239569,results/analysis/patchcore_candidate_regions/MVTecAD/grid/candidate_regions/grid_0008_candidates.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/broken/003.png,1,0.7999999999999999,32,80,60,111,46.14,95.68,730,0.893556,1.000000,0.243220,0.391275,results/analysis/patchcore_candidate_regions/MVTecAD/grid/candidate_regions/grid_0009_candidates.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/broken/003.png,2,0.7999999999999999,193,149,212,170,202.48,159.49,343,0.865594,0.936583,0.185510,0.312963,results/analysis/patchcore_candidate_regions/MVTecAD/grid/candidate_regions/grid_0009_candidates.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/broken/004.png,1,0.7999999999999999,93,136,118,162,105.18,149.16,537,0.894031,1.000000,0.175214,0.298182,results/analysis/patchcore_candidate_regions/MVTecAD/grid/candidate_regions/grid_0010_candidates.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/glue/001.png,1,0.7999999999999999,102,26,123,48,112.61,36.67,424,0.897113,1.000000,0.648107,0.786486,results/analysis/patchcore_candidate_regions/MVTecAD/grid/candidate_regions/grid_0011_candidates.png
grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/glue/004.png,1,0.7999999999999999,99,132,119,159,108.82,145.74,467,0.893599,1.000000,0.663139,0.797455,results/analysis/patchcore_candidate_regions/MVTecAD/grid/candidate_regions/grid_0012_candidates.png
