image_id,label,scene_group
7799424fdb56993ee7d6453f,0,AD2/can/train/good/000
8ec882f5654d3aa899b5bc0c,0,AD2/can/train/good/001
d0437c74fecdd2358a74788e,0,AD2/can/train/good/002
78d374cd8e91ad006045f079,0,AD2/can/train/good/003
9143149027d57b05aa000308,0,AD2/can/train/good/004
4e180ca0a4ae0f988ca1b27b,0,AD2/can/train/good/005
9e254d1ea40de8d40edaccb1,0,AD2/can/train/good/006
f0952519723c402dc261a5d5,0,AD2/can/train/good/007
1cd84c6e7e48f346b3682000,0,AD2/can/train/good/008
2d6ec94e11a6a9f1def1a304,0,AD2/can/train/good/009
a38c9b981866914166bba4a7,0,AD2/can/train/good/010
0d08c5f0ffd0ab11e4b31881,0,AD2/can/train/good/011
ea40dcb842962b627dc161f5,0,AD2/can/train/good/012
cc9f042209a7e84a55f48dfb,0,AD2/can/train/good/013
464a170b3ed0b282893d0db1,0,AD2/can/train/good/014
064b667eefda3338f329be0a,0,AD2/can/train/good/015
4feacabcdb7473b2c4fa3521,0,AD2/can/train/good/016
2bc1cbe94e90d7b19a0748a9,0,AD2/can/train/good/017
6826c4a16cd4f2a3732beed2,0,AD2/can/train/good/018
e0122b05a8afb84526ecd9b1,0,AD2/can/train/good/019
250f296e70d9a7126d630f1d,0,AD2/can/train/good/020
6faee2e672cead91c0f49606,0,AD2/can/train/good/021
38b0a4dbede7cee494af9f7f,0,AD2/can/train/good/022
fbf6d273b7be90f65bd7bf47,0,AD2/can/train/good/023
d7a71c53d8e3ee8e9d8ed417,0,AD2/can/train/good/024
38ba190339bb82ae95c539bd,0,AD2/can/train/good/025
25d92adc75d212ff07c04ba9,0,AD2/can/train/good/026
d858809771deb4619e123f65,0,AD2/can/train/good/027
c60a01ffb404b6d2b564b109,0,AD2/can/train/good/028
2c6084b3c7637f233df217a1,0,AD2/can/train/good/029
67b720a268089872b9187115,0,AD2/can/train/good/030
28cc5c39c409ba07a059c050,0,AD2/can/train/good/031
67705a10e92bd7c795b04ad6,0,AD2/can/train/good/032
