category,image_id,label,variant,D,MLP,new_saturation_fraction,D_peak_in_mask,D_defect_background_margin,MLP_peak_in_mask,MLP_defect_background_margin
candle,02bd8d596731ab3417010866,1,identity,61.67417907714844,6.107193470001221,0.0,True,6.111743927001953,True,2.460974931716919
candle,02bd8d596731ab3417010866,1,brightness_0.8,60.72683334350586,4.968656063079834,0.00016269790466436223,True,5.928913116455078,True,2.2038116455078125
candle,02bd8d596731ab3417010866,1,brightness_1.2,62.110198974609375,6.95645809173584,0.11283121914963229,True,6.143646240234375,True,2.5323901176452637
candle,02bd8d596731ab3417010866,1,contrast_0.8,60.5372428894043,5.399417400360107,0.0,True,5.718147277832031,True,2.2994484901428223
candle,02bd8d596731ab3417010866,1,contrast_1.2,62.75398635864258,6.810967922210693,0.2791651552653665,True,5.729759216308594,True,2.57708740234375
candle,0337f49d30789e965adb6aa3,1,identity,35.48849105834961,1.825745940208435,0.0,False,-0.5870513916015625,False,-0.25982630252838135
candle,0337f49d30789e965adb6aa3,1,brightness_0.8,39.57734680175781,0.9766292572021484,0.00014513897779484773,False,-2.9714012145996094,False,-0.13766443729400635
candle,0337f49d30789e965adb6aa3,1,brightness_1.2,39.29777908325195,2.7801554203033447,0.1141819229292024,True,2.3301963806152344,True,0.15590977668762207
candle,0337f49d30789e965adb6aa3,1,contrast_0.8,38.719417572021484,1.3205606937408447,0.0,False,-2.6374855041503906,False,-0.14420223236083984
candle,0337f49d30789e965adb6aa3,1,contrast_1.2,36.5640983581543,2.2659614086151123,0.2754448854180003,False,0.7483482360839844,False,-0.2124161720275879
candle,0376a84cc136cb65b92d2401,0,identity,28.04451560974121,1.1917004585266113,0.0,,,,
candle,0376a84cc136cb65b92d2401,0,brightness_0.8,28.91202735900879,0.48817479610443115,0.00020359464572753525,,,,
candle,0376a84cc136cb65b92d2401,0,brightness_1.2,28.841745376586914,1.9443439245224,0.07063978506095392,,,,
candle,0376a84cc136cb65b92d2401,0,contrast_0.8,28.45574378967285,0.7284544706344604,0.0,,,,
candle,0376a84cc136cb65b92d2401,0,contrast_1.2,35.34726333618164,1.66725492477417,0.24193556273915703,,,,
candle,0397572d12c4b5519744c5d9,0,identity,28.700082778930664,1.0423237085342407,0.0,,,,
candle,0397572d12c4b5519744c5d9,0,brightness_0.8,29.590675354003906,0.03989909961819649,0.00011446642199746796,,,,
candle,0397572d12c4b5519744c5d9,0,brightness_1.2,30.844078063964844,2.202486753463745,0.12221146460120343,,,,
candle,0397572d12c4b5519744c5d9,0,contrast_0.8,29.4168643951416,0.3516785502433777,0.0,,,,
