image_id,dataset,category,split,path,width,height,sha256,bytes,label,scene_group
00160ff324c599b2c715a0b5,VisA,pcb3,evaluation,/root/private_data/iad-vlm-anomaly/datasets/VisA/pcb3/Data/Images/Anomaly/073.JPG,1562,960,c295d2e276c99898252f411723925e767829940f4cb3fb7d5fd71fdbc8bed510,134951,1,VisA/pcb3/Data/Images/Anomaly/073.JPG
0034b5c2e42b8d83e6fcf6d9,VisA,pcb2,evaluation,/root/private_data/iad-vlm-anomaly/datasets/VisA/pcb2/Data/Images/Anomaly/088.JPG,1404,1070,652e9b8de8c7aecb18eaaeffb9dc135744f78b619a319d4c31a7f822c483aa3e,235626,1,VisA/pcb2/Data/Images/Anomaly/088.JPG
0043f160068eb5a09420a18c,VisA,pcb2,evaluation,/root/private_data/iad-vlm-anomaly/datasets/VisA/pcb2/Data/Images/Normal/0657.JPG,1404,1070,5794ab99f496fad1253eb38687e53d48c9b4bfb7d45498a394e7c6fb9aeab0ad,247350,0,VisA/pcb2/Data/Images/Normal/0657.JPG
005e070227309d82c55c4275,VisA,pcb4,evaluation,/root/private_data/iad-vlm-anomaly/datasets/VisA/pcb4/Data/Images/Anomaly/028.JPG,1358,1104,d1d7116ea2632f12a3075db7c0a4f67e3edc092bb0481ee8d3602f4b3a088179,231337,1,VisA/pcb4/Data/Images/Anomaly/028.JPG
007dd0e22dd86be207fc7d90,VisA,pcb2,evaluation,/root/private_data/iad-vlm-anomaly/datasets/VisA/pcb2/Data/Images/Normal/0684.JPG,1404,1070,d8d3f165f62a103f929272681a52e54bb54183d7ab0cc2a09f43891e295c8b1a,250286,0,VisA/pcb2/Data/Images/Normal/0684.JPG
00825985d63dafd101884c28,VisA,pcb3,evaluation,/root/private_data/iad-vlm-anomaly/datasets/VisA/pcb3/Data/Images/Normal/0631.JPG,1562,960,ccf1784dfbfc5b7ef762b1793aded6d61266360b68a194c7047d05c166cdd124,141413,0,VisA/pcb3/Data/Images/Normal/0631.JPG
009ae6d6a7cf15f60e00275e,VisA,macaroni1,evaluation,/root/private_data/iad-vlm-anomaly/datasets/VisA/macaroni1/Data/Images/Anomaly/085.JPG,1500,1000,654efd9955e7cf55e240e5dcc6c4b45319ad3f688c48a853e584e83e25d40fb4,138677,1,VisA/macaroni1/Data/Images/Anomaly/085.JPG
009b5b8e3f53c3ec7bca77e5,VisA,pcb3,evaluation,/root/private_data/iad-vlm-anomaly/datasets/VisA/pcb3/Data/Images/Anomaly/096.JPG,1562,960,d60544a52f88e643f23697829a78cfd8483b55a3bd0bf668f3434a795b3b7bc0,133125,1,VisA/pcb3/Data/Images/Anomaly/096.JPG
00b31381bedc1d3eac00940e,VisA,pcb3,evaluation,/root/private_data/iad-vlm-anomaly/datasets/VisA/pcb3/Data/Images/Normal/0796.JPG,1562,960,1afbe941494c3d538845aa6e70225ec4659472728a81ad8d9b7dafff605f3ac1,141196,0,VisA/pcb3/Data/Images/Normal/0796.JPG
00bb69b97e4fb3be8e1bb095,VisA,cashew,evaluation,/root/private_data/iad-vlm-anomaly/datasets/VisA/cashew/Data/Images/Anomaly/036.JPG,1274,1176,23233851cb9b191bd400f05cfbb49e41427ce5bbf739d3a7cb56d3becad7a7aa,320943,1,VisA/cashew/Data/Images/Anomaly/036.JPG
