path_key,category,candidate_rank,crop_path,cached_margin,runtime_margin,margin_abs_diff,normal_similarity,anomaly_similarity
fruit_jelly_folder/test/bad/000321_000_regular.png,fruit_jelly,1,/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/fruit_jelly/context_1.50/000321_000_regular_cand00_context_1.50.png,,0.00015679001808166504,,0.28098341822624207,0.28114020824432373
fruit_jelly_folder/test/bad/000322_000_shift_1.png,fruit_jelly,1,/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/fruit_jelly/context_1.50/000322_000_shift_1_cand00_context_1.50.png,,-0.0007065534591674805,,0.2882218658924103,0.2875153124332428
fruit_jelly_folder/test/bad/000325_001_regular.png,fruit_jelly,1,/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/fruit_jelly/context_1.50/000325_001_regular_cand00_context_1.50.png,,0.004160851240158081,,0.27315619587898254,0.2773170471191406
fruit_jelly_folder/test/bad/000326_001_shift_1.png,fruit_jelly,1,/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/fruit_jelly/context_1.50/000326_001_shift_1_cand00_context_1.50.png,,0.002528846263885498,,0.2618231773376465,0.264352023601532
fruit_jelly_folder/test/bad/000330_002_shift_1.png,fruit_jelly,1,/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/fruit_jelly/context_1.50/000330_002_shift_1_cand00_context_1.50.png,,0.009199976921081543,,0.28364822268486023,0.2928481996059418
fruit_jelly_folder/test/bad/000330_002_shift_1.png,fruit_jelly,2,/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/fruit_jelly/context_1.50/000330_002_shift_1_cand01_context_1.50.png,,0.0169784277677536,,0.2456689029932022,0.2626473307609558
fruit_jelly_folder/test/bad/000330_002_shift_1.png,fruit_jelly,3,/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/fruit_jelly/context_1.50/000330_002_shift_1_cand02_context_1.50.png,,0.014129936695098877,,0.2613821029663086,0.27551203966140747
fruit_jelly_folder/test/bad/000331_002_underexposed.png,fruit_jelly,1,/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/fruit_jelly/context_1.50/000331_002_underexposed_cand00_context_1.50.png,,0.006992638111114502,,0.27743685245513916,0.28442949056625366
fruit_jelly_folder/test/bad/000331_002_underexposed.png,fruit_jelly,2,/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/fruit_jelly/context_1.50/000331_002_underexposed_cand01_context_1.50.png,,0.008877485990524292,,0.2592724561691284,0.2681499421596527
fruit_jelly_folder/test/bad/000331_002_underexposed.png,fruit_jelly,3,/root/private_data/iad-vlm-anomaly/results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/fruit_jelly/context_1.50/000331_002_underexposed_cand02_context_1.50.png,,0.015481650829315186,,0.24980974197387695,0.26529139280319214
