category,image_path,path_key,D,M,Q,M_raw_crop_topk,M_raw_runtime,context_topk_mean_score,M_runtime,srb_pre_gate,score_S1,score_S1_runtime,score_S1_abs_diff,num_eval_images,fallback,used_mode
fruit_jelly,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fruit_jelly_folder/test/bad/000321_000_regular.png,fruit_jelly_folder/test/bad/000321_000_regular.png,1.0,0.7587009136744193,0.8093068123735692,0.0101792812347412,0.00015679001808166504,0.0101792812347412,0.2373336551085112,1,0.9536405609675948,1.0,0.04635943903240525,1,0,context_1p50_topk_mean
fruit_jelly,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fruit_jelly_folder/test/bad/000322_000_shift_1.png,fruit_jelly_folder/test/bad/000322_000_shift_1.png,1.0,0.6780507555558523,0.7943277013488447,0.0086289048194885,-0.0007065534591674805,0.0086289048194885,0.19242276297563005,1,0.9489154975850688,1.0,0.05108450241493123,1,0,context_1p50_topk_mean
fruit_jelly,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fruit_jelly_folder/test/bad/000325_001_regular.png,fruit_jelly_folder/test/bad/000325_001_regular.png,1.0,0.5621806848591897,0.6678962486231994,0.0064014792442321,0.004160851240158081,0.0064014792442321,0.4456238274175698,1,0.957399300381495,0.9661980237241357,0.008798723342640646,1,0,context_1p50_topk_mean
fruit_jelly,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fruit_jelly_folder/test/bad/000326_001_shift_1.png,fruit_jelly_folder/test/bad/000326_001_shift_1.png,1.0,0.3726880052875815,0.5937901791820545,0.0027587711811065,0.002528846263885498,0.0027587711811065,0.36072737382618913,1,0.9786732101925688,0.9803853348149277,0.0017121246223589237,1,0,context_1p50_topk_mean
fruit_jelly,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fruit_jelly_folder/test/bad/000330_002_shift_1.png,fruit_jelly_folder/test/bad/000330_002_shift_1.png,0.8548578930363862,1.0,0.5890455861991184,0.0148178885380427,0.013436113484203815,0.0148178885380427,0.9281204387011823,1,0.8789904012471794,0.8684867020469748,0.010503699200204664,3,0,context_1p50_topk_mean
fruit_jelly,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fruit_jelly_folder/test/bad/000331_002_underexposed.png,fruit_jelly_folder/test/bad/000331_002_underexposed.png,0.7482702875763677,0.9122049859477388,0.7256054923247123,0.0131301631530125,0.010450591333210468,0.0131301631530125,0.7728143909728623,1,0.780803296906246,0.7542995686344905,0.0265037282717554,3,0,context_1p50_topk_mean
fruit_jelly,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fruit_jelly_folder/test/bad/000334_003_shift_1.png,fruit_jelly_folder/test/bad/000334_003_shift_1.png,0.4938262963304081,0.0618208840531874,0.4425755950538362,-0.0032171756029129,0.00021089613437652588,-0.0032171756029129,0.2401482405159207,0,0.4938262963304081,0.4938262963304081,0.0,1,0,context_1p50_topk_mean
fruit_jelly,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fruit_jelly_folder/test/bad/000335_003_underexposed.png,fruit_jelly_folder/test/bad/000335_003_underexposed.png,0.4400476004602158,0.1033040436959679,0.5142613749529068,-0.0024197250604629,-0.0010700225830078125,-0.0024197250604629,0.17351519832194442,1,0.4066504344131206,0.40912271684399915,0.0024722824308785474,1,0,context_1p50_topk_mean
fruit_jelly,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fruit_jelly_folder/test/bad/000336_004_overexposed.png,fruit_jelly_folder/test/bad/000336_004_overexposed.png,0.4211649540149732,0.3290716209019814,0.8505582791611783,0.0019203126430511,-0.00109824538230896,0.0019203126430511,0.1720470560025741,1,0.3971156043873383,0.37163689581518317,0.025478708572155118,1,0,context_1p50_topk_mean
fruit_jelly,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fruit_jelly_folder/test/bad/000338_004_shift_1.png,fruit_jelly_folder/test/bad/000338_004_shift_1.png,0.3319444992668419,0.5143052149541701,1.0,0.0054811462759971,0.0008547604084014893,0.0054811462759971,0.27364188437952774,1,0.3802515487986093,0.31312487501087455,0.06712667378773474,2,0,context_1p50_topk_mean
