image_id,dataset,category,original_split,role,path,width,height
0691256b6057f11812d53675,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/118_regular.png,4224,1056
0a35c0ac023dd510ae314623,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/010_regular.png,4224,1056
0c771753240f1165089ea1be,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/047_regular.png,4224,1056
0c83639b81f6a216d22179f6,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/133_regular.png,4224,1056
0cd4799793e59a48b407a8e8,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/044_regular.png,4224,1056
0f46df8aaeea19d83c3f887e,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/127_regular.png,4224,1056
0faf9d01c95a9537b62fa299,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/135_regular.png,4224,1056
11c504be4bd954ec5036dcfb,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/094_regular.png,4224,1056
12199d21ca041b3d46786f32,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/018_regular.png,4224,1056
150e85ac6180abeab6d60704,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/072_regular.png,4224,1056
16361b59630d2fb993b4e23d,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/098_regular.png,4224,1056
167be82bc71c075ae58a8137,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/048_regular.png,4224,1056
1a0723003d200742d2cdb1b3,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/110_regular.png,4224,1056
21583523e0803d611b62c66d,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/080_regular.png,4224,1056
24bbf923c9a070e82089db3a,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/049_regular.png,4224,1056
25e84c8e76dead89dd595d5c,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/084_regular.png,4224,1056
269f1904110fc9df5955faba,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/078_regular.png,4224,1056
26eed61b50587d66d2c5f5d9,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/129_regular.png,4224,1056
2787860b6cc307ea0f4b796e,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/055_regular.png,4224,1056
2c87af2205a3949179f99147,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/051_regular.png,4224,1056
2d9e6dcea3ea856f3543f284,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/077_regular.png,4224,1056
2e5381b65d1859dadc2551f8,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/068_regular.png,4224,1056
329eb7529f84b585cb3e82ff,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/030_regular.png,4224,1056
368fe9b90bede40f7ca5c0b9,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/004_regular.png,4224,1056
3768e3516cc80f0259c03f0d,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/038_regular.png,4224,1056
37d879a15358be01f5f0e34d,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/009_regular.png,4224,1056
3cc036afb8393fc186ba608b,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/052_regular.png,4224,1056
3cc7f32cc2505cd975899161,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/056_regular.png,4224,1056
44374eaed41da7c0e65190b4,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/057_regular.png,4224,1056
469120d5b0e29cc9c7f496c5,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/003_regular.png,4224,1056
49e143472711a6087045a36b,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/013_regular.png,4224,1056
4c5b5bbacbf908d63162311d,AD2,sheet_metal,train,normal_reference,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/sheet_metal/train/good/092_regular.png,4224,1056
