image_id,dataset,category,role,component_id,kind,area_native,area_fraction,equivalent_area_512,max_bbox_side_512,x,y,width,height
1fda98091818dc74d20a4d57,AD2,can,target_public_development,1,tiny_compact,60,2.6251680107526882e-05,6.881720430107527,3.6702508960573477,1882,200,16,6
e83d009e53fd3b2d718692cd,AD2,can,target_public_development,1,tiny_compact,60,2.6251680107526882e-05,6.881720430107527,3.6702508960573477,1882,200,16,6
4a9e54cda1472c47539d85ce,AD2,can,target_public_development,1,tiny_compact,60,2.6251680107526882e-05,6.881720430107527,3.6702508960573477,1882,200,16,6
0ad1b153c96a114d73f5bd93,AD2,can,target_public_development,1,tiny_compact,60,2.6251680107526882e-05,6.881720430107527,3.6702508960573477,1882,200,16,6
eddb6aa0aba9ea070782217a,AD2,can,target_public_development,1,tiny_compact,60,2.6251680107526882e-05,6.881720430107527,3.6702508960573477,1882,200,16,6
dcf39e5c945db491afc00749,AD2,can,target_public_development,1,tiny_compact,60,2.6251680107526882e-05,6.881720430107527,3.6702508960573477,1882,200,16,6
6e76d44fbbcce9cfc50940c5,AD2,can,target_public_development,1,thin_or_extended_small_area,250,0.00010938200044802868,28.67383512544803,40.5,814,832,12,81
fd87646c9e2c8424bb7055f3,AD2,can,target_public_development,1,thin_or_extended_small_area,250,0.00010938200044802868,28.67383512544803,40.5,814,832,12,81
1bf3f235f03c0d171772166c,AD2,can,target_public_development,1,thin_or_extended_small_area,250,0.00010938200044802868,28.67383512544803,40.5,814,832,12,81
406e9dc440da0cb13d4c98e7,AD2,can,target_public_development,1,thin_or_extended_small_area,250,0.00010938200044802868,28.67383512544803,40.5,814,832,12,81
5b5f55e0c9e8c75dfa06d870,AD2,can,target_public_development,1,thin_or_extended_small_area,250,0.00010938200044802868,28.67383512544803,40.5,814,832,12,81
4782737b649a35b39d12e514,AD2,can,target_public_development,1,thin_or_extended_small_area,250,0.00010938200044802868,28.67383512544803,40.5,814,832,12,81
977023ca6ffc9c2886be29c4,AD2,can,target_public_development,1,tiny_compact,25,1.0938200044802867e-05,2.867383512544803,3.5,1453,196,5,7
