image_id,dataset,category,original_split,role,path,label,scene_group,width,height,stratum,component_count,tiny_count,thin_count,mask_path,hard_normal,teacher_q95
223174f4b185da7ec9ee4f18,AD2,can,evaluation,target_public_development,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/000_overexposed.png,0,AD2/can/test_public/good/000,2232,1024,normal,0,0,0,,False,46.62673759460449
ba49b2764920a43380f808c4,AD2,can,evaluation,target_public_development,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/000_regular.png,0,AD2/can/test_public/good/000,2232,1024,normal,0,0,0,,False,46.62673759460449
5a93f61465e74e8e0cf33625,AD2,can,evaluation,target_public_development,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/000_shift_1.png,0,AD2/can/test_public/good/000,2232,1024,normal,0,0,0,,True,46.62673759460449
b8c9fbb5b346653d8de16864,AD2,can,evaluation,target_public_development,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/000_shift_2.png,0,AD2/can/test_public/good/000,2232,1024,normal,0,0,0,,True,46.62673759460449
92fb52e3548d74389d08c980,AD2,can,evaluation,target_public_development,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/000_shift_3.png,0,AD2/can/test_public/good/000,2232,1024,normal,0,0,0,,True,46.62673759460449
470966165157a80fdba221d1,AD2,can,evaluation,target_public_development,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/000_underexposed.png,0,AD2/can/test_public/good/000,2232,1024,normal,0,0,0,,False,46.62673759460449
20955c8cc6632f72bbcc1b89,AD2,can,evaluation,target_public_development,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/001_overexposed.png,0,AD2/can/test_public/good/001,2232,1024,normal,0,0,0,,False,46.62673759460449
0acdab7ce5a91891e8591a50,AD2,can,evaluation,target_public_development,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/001_regular.png,0,AD2/can/test_public/good/001,2232,1024,normal,0,0,0,,False,46.62673759460449
f19383fa90173683fb7a72b4,AD2,can,evaluation,target_public_development,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/001_shift_1.png,0,AD2/can/test_public/good/001,2232,1024,normal,0,0,0,,True,46.62673759460449
0ac72446e98ed45a53337d7f,AD2,can,evaluation,target_public_development,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/001_shift_2.png,0,AD2/can/test_public/good/001,2232,1024,normal,0,0,0,,True,46.62673759460449
04f143a2a4b1522e77a31be2,AD2,can,evaluation,target_public_development,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/001_shift_3.png,0,AD2/can/test_public/good/001,2232,1024,normal,0,0,0,,True,46.62673759460449
fced83403a14e648abc0ad25,AD2,can,evaluation,target_public_development,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/001_underexposed.png,0,AD2/can/test_public/good/001,2232,1024,normal,0,0,0,,False,46.62673759460449
7889beb6c103c6aaa310a045,AD2,can,evaluation,target_public_development,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/002_overexposed.png,0,AD2/can/test_public/good/002,2232,1024,normal,0,0,0,,False,46.62673759460449
b707c263398d75fbf1ab6efc,AD2,can,evaluation,target_public_development,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/002_regular.png,0,AD2/can/test_public/good/002,2232,1024,normal,0,0,0,,False,46.62673759460449
94bb508d910e023f661981b9,AD2,can,evaluation,target_public_development,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/002_shift_1.png,0,AD2/can/test_public/good/002,2232,1024,normal,0,0,0,,False,46.62673759460449
e9b967cc999ade292f26b0e7,AD2,can,evaluation,target_public_development,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/002_shift_2.png,0,AD2/can/test_public/good/002,2232,1024,normal,0,0,0,,True,46.62673759460449
6bdda51a3760981ac6b189c8,AD2,can,evaluation,target_public_development,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/002_shift_3.png,0,AD2/can/test_public/good/002,2232,1024,normal,0,0,0,,True,46.62673759460449
77c7487739b8abdd546716db,AD2,can,evaluation,target_public_development,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/002_underexposed.png,0,AD2/can/test_public/good/002,2232,1024,normal,0,0,0,,False,46.62673759460449
99fc752b71270623bf6fdc03,AD2,can,evaluation,target_public_development,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/test_public/good/003_overexposed.png,0,AD2/can/test_public/good/003,2232,1024,normal,0,0,0,,False,46.62673759460449
