category,image_path,component_rank,threshold,x1,y1,x2,y2,cx,cy,area,mean_score,max_score,gt_iou,gt_f1,visual_path
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/004.png,1,0.85,170,13,189,31,179.33,21.72,303,0.916775,1.000000,0.333333,0.500000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0001_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/009.png,1,0.85,20,182,40,202,29.35,191.40,342,0.922601,1.000000,0.278057,0.435125,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0002_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/009.png,2,0.85,81,202,96,218,88.50,209.50,210,0.892809,0.936903,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0002_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/010.png,1,0.85,8,156,29,179,18.73,167.76,411,0.921113,1.000000,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0003_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/010.png,2,0.85,87,201,98,215,92.43,207.31,137,0.883969,0.922681,0.246429,0.395415,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0003_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/011.png,1,0.85,48,192,75,212,60.69,202.11,465,0.931752,1.000000,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0004_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/012.png,1,0.85,25,16,45,34,35.02,25.17,316,0.921194,1.000000,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0005_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/012.png,2,0.85,89,198,102,216,96.30,207.51,197,0.911079,0.982967,0.011673,0.023077,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0005_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/013.png,1,0.85,32,171,74,203,51.55,188.37,1052,0.916948,1.000000,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0006_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/013.png,2,0.85,184,191,198,207,190.95,199.27,208,0.892632,0.938296,0.451264,0.621891,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0006_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/015.png,1,0.85,6,124,21,141,13.87,132.57,218,0.918026,1.000000,0.342776,0.510549,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0007_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/016.png,1,0.85,77,192,94,214,85.76,202.85,307,0.920862,1.000000,0.333932,0.500673,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0008_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/020.png,1,0.85,23,189,44,207,33.97,197.93,298,0.922789,1.000000,0.136499,0.240209,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0009_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/022.png,1,0.85,128,160,148,195,138.13,177.43,571,0.918518,1.000000,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0010_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/022.png,2,0.85,87,80,100,101,93.20,89.59,206,0.874027,0.898646,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0010_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/manipulated_front/022.png,3,0.85,153,210,167,223,160.32,216.75,179,0.921327,0.989126,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0010_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/001.png,1,0.85,198,113,216,133,206.92,122.78,314,0.919291,1.000000,0.562112,0.719682,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0011_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/007.png,1,0.85,2,104,68,124,33.89,113.92,973,0.911117,1.000000,0.075330,0.140105,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0012_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/009.png,1,0.85,4,11,31,37,19.01,23.54,564,0.922340,1.000000,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0013_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/009.png,2,0.85,102,9,117,24,109.40,16.03,182,0.902096,0.958758,0.258900,0.411311,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0013_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/012.png,1,0.85,29,139,54,162,41.20,150.23,492,0.916662,0.980938,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0014_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/012.png,2,0.85,54,37,76,59,64.97,48.16,359,0.920892,1.000000,0.273523,0.429553,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0014_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/014.png,1,0.85,10,78,34,106,21.79,92.12,502,0.924250,1.000000,0.261628,0.414747,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0015_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/015.png,1,0.85,82,11,106,33,94.58,21.59,436,0.919990,1.000000,0.439825,0.610942,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0016_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/016.png,1,0.85,193,119,214,144,203.35,131.48,444,0.924555,1.000000,0.292135,0.452174,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0017_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/018.png,1,0.85,104,198,121,223,113.02,208.85,313,0.913233,1.000000,0.308789,0.471869,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0018_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/020.png,1,0.85,11,95,35,114,22.58,105.07,376,0.922610,1.000000,0.186099,0.313800,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0019_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/022.png,1,0.85,0,86,24,113,12.27,99.47,467,0.917457,1.000000,0.126016,0.223827,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0020_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_head/023.png,1,0.85,58,171,83,201,70.87,185.82,557,0.928199,1.000000,0.199662,0.332863,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0021_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/000.png,1,0.85,47,81,79,108,64.00,94.87,500,0.919676,1.000000,0.350598,0.519174,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0022_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/001.png,1,0.85,64,84,87,103,75.12,93.73,373,0.921557,1.000000,0.692308,0.818182,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0023_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/002.png,1,0.85,79,100,113,124,96.16,111.03,553,0.926701,1.000000,0.334539,0.501355,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0024_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/002.png,2,0.85,159,45,167,57,162.93,50.63,89,0.868359,0.889717,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0024_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/005.png,1,0.85,130,126,161,150,146.22,137.31,326,0.877738,0.908832,0.119221,0.213043,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0025_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/005.png,2,0.85,192,15,211,35,201.24,24.79,316,0.920737,1.000000,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0025_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/009.png,1,0.85,67,108,84,122,75.30,114.89,200,0.919210,1.000000,0.601770,0.751381,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0026_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/010.png,1,0.85,91,87,111,105,100.96,96.26,284,0.922687,1.000000,0.513228,0.678322,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0027_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/011.png,1,0.85,107,77,125,102,116.22,89.21,342,0.918055,1.000000,0.301170,0.462921,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0028_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/012.png,1,0.85,83,97,106,117,93.87,107.73,357,0.919565,1.000000,0.619444,0.765009,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0029_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/015.png,1,0.85,110,135,126,156,118.40,145.77,285,0.921220,1.000000,0.389535,0.560669,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0030_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/016.png,1,0.85,99,137,115,154,106.92,145.71,235,0.921421,1.000000,0.578431,0.732919,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0031_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/019.png,1,0.85,132,99,155,115,143.31,106.99,299,0.919459,1.000000,0.480106,0.648746,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0032_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/020.png,1,0.85,76,80,101,102,88.40,90.78,367,0.918822,1.000000,0.303318,0.465455,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0033_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/021.png,1,0.85,121,103,154,124,137.25,113.85,438,0.918665,1.000000,0.207585,0.343802,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0034_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/scratch_neck/024.png,1,0.85,62,109,78,123,69.84,116.12,181,0.920564,1.000000,0.665217,0.798956,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0035_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_side/000.png,1,0.85,55,151,87,174,70.44,162.55,570,0.914386,0.984789,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0036_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_side/000.png,2,0.85,12,30,32,55,22.34,42.58,428,0.913325,1.000000,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0036_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_side/002.png,1,0.85,105,57,122,97,113.62,77.28,396,0.888992,0.936489,0.000000,0.000000,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0037_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_side/002.png,2,0.85,122,156,136,176,128.75,165.92,251,0.921164,1.000000,0.252366,0.403023,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0037_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_side/003.png,1,0.85,65,134,93,151,78.18,141.38,402,0.917282,1.000000,0.182628,0.308851,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0038_candidates.png
screw,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/screw/test/thread_side/003.png,2,0.85,149,117,160,127,154.68,122.04,92,0.905394,0.967429,0.270115,0.425339,results/analysis/patchcore_candidate_regions/MVTecAD/screw/candidate_regions/screw_0038_candidates.png
