image_id,positive,negative
0230568537d49a20054718fc,16,32
0230568537d49a20054718fc,0,32
0230568537d49a20054718fc,0,32
0230568537d49a20054718fc,0,32
0230568537d49a20054718fc,0,32
0230568537d49a20054718fc,0,32
0230568537d49a20054718fc,0,32
0230568537d49a20054718fc,0,32
034819db59fed268623329cd,0,32
034819db59fed268623329cd,0,32
034819db59fed268623329cd,0,32
034819db59fed268623329cd,0,31
034819db59fed268623329cd,0,32
034819db59fed268623329cd,0,32
034819db59fed268623329cd,0,32
034819db59fed268623329cd,0,32
03d8ab7c6352f052febc78e0,0,32
03d8ab7c6352f052febc78e0,0,32
03d8ab7c6352f052febc78e0,0,32
03d8ab7c6352f052febc78e0,0,32
03d8ab7c6352f052febc78e0,0,32
03d8ab7c6352f052febc78e0,0,30
03d8ab7c6352f052febc78e0,0,32
03d8ab7c6352f052febc78e0,0,31
05b91854e3218bb7fff74ab9,16,32
05b91854e3218bb7fff74ab9,0,32
05b91854e3218bb7fff74ab9,0,32
05b91854e3218bb7fff74ab9,16,32
05b91854e3218bb7fff74ab9,0,32
05b91854e3218bb7fff74ab9,0,32
05b91854e3218bb7fff74ab9,0,32
05b91854e3218bb7fff74ab9,0,32
0632f91792b863bb94bb5ecb,0,32
0632f91792b863bb94bb5ecb,0,32
0632f91792b863bb94bb5ecb,0,31
0632f91792b863bb94bb5ecb,0,32
0632f91792b863bb94bb5ecb,0,32
0632f91792b863bb94bb5ecb,0,32
0632f91792b863bb94bb5ecb,0,32
0632f91792b863bb94bb5ecb,0,32
074325c08472083d737fcba6,16,31
074325c08472083d737fcba6,0,32
074325c08472083d737fcba6,16,32
074325c08472083d737fcba6,0,32
074325c08472083d737fcba6,0,32
074325c08472083d737fcba6,0,32
074325c08472083d737fcba6,0,32
074325c08472083d737fcba6,0,32
09dc9cfb0f5f0c6e5358d145,16,32
09dc9cfb0f5f0c6e5358d145,0,32
09dc9cfb0f5f0c6e5358d145,0,32
09dc9cfb0f5f0c6e5358d145,0,32
09dc9cfb0f5f0c6e5358d145,0,32
09dc9cfb0f5f0c6e5358d145,0,32
09dc9cfb0f5f0c6e5358d145,0,32
09dc9cfb0f5f0c6e5358d145,16,32
0b38ea5bd86c4923a78bc374,16,32
0b38ea5bd86c4923a78bc374,16,32
0b38ea5bd86c4923a78bc374,0,32
0b38ea5bd86c4923a78bc374,0,32
0b38ea5bd86c4923a78bc374,16,32
0b38ea5bd86c4923a78bc374,0,32
0b38ea5bd86c4923a78bc374,0,32
0b38ea5bd86c4923a78bc374,0,32
0d3deca4b0e32e2057cae97f,16,32
0d3deca4b0e32e2057cae97f,9,32
0d3deca4b0e32e2057cae97f,0,32
0d3deca4b0e32e2057cae97f,0,31
0d3deca4b0e32e2057cae97f,0,32
0d3deca4b0e32e2057cae97f,0,32
0d3deca4b0e32e2057cae97f,0,32
0d3deca4b0e32e2057cae97f,0,32
0dc091049dc0a1f03092bd10,0,32
0dc091049dc0a1f03092bd10,0,32
0dc091049dc0a1f03092bd10,0,32
0dc091049dc0a1f03092bd10,0,32
0dc091049dc0a1f03092bd10,0,32
0dc091049dc0a1f03092bd10,0,32
0dc091049dc0a1f03092bd10,0,32
0dc091049dc0a1f03092bd10,0,32
0e3e18366515ae2514a8e77d,16,31
0e3e18366515ae2514a8e77d,0,31
0e3e18366515ae2514a8e77d,16,32
0e3e18366515ae2514a8e77d,16,32
0e3e18366515ae2514a8e77d,0,32
0e3e18366515ae2514a8e77d,16,32
0e3e18366515ae2514a8e77d,0,32
0e3e18366515ae2514a8e77d,0,32
0f78e1718fe95a9f71163e8b,0,32
0f78e1718fe95a9f71163e8b,0,32
0f78e1718fe95a9f71163e8b,0,32
0f78e1718fe95a9f71163e8b,0,32
0f78e1718fe95a9f71163e8b,0,32
0f78e1718fe95a9f71163e8b,0,32
0f78e1718fe95a9f71163e8b,0,32
0f78e1718fe95a9f71163e8b,0,32
1105707fa54824973b85fcd2,16,32
1105707fa54824973b85fcd2,0,32
1105707fa54824973b85fcd2,0,32
1105707fa54824973b85fcd2,0,32
1105707fa54824973b85fcd2,0,32
1105707fa54824973b85fcd2,16,32
1105707fa54824973b85fcd2,0,32
1105707fa54824973b85fcd2,0,31
1231df93803c72ad88984451,16,32
1231df93803c72ad88984451,0,32
1231df93803c72ad88984451,0,32
1231df93803c72ad88984451,0,32
1231df93803c72ad88984451,0,31
1231df93803c72ad88984451,0,32
1231df93803c72ad88984451,0,32
1231df93803c72ad88984451,0,32
126ea6ab4ad2ded6c054b50d,16,32
126ea6ab4ad2ded6c054b50d,0,32
126ea6ab4ad2ded6c054b50d,0,32
126ea6ab4ad2ded6c054b50d,0,32
126ea6ab4ad2ded6c054b50d,0,32
126ea6ab4ad2ded6c054b50d,0,32
126ea6ab4ad2ded6c054b50d,0,32
126ea6ab4ad2ded6c054b50d,0,32
19ac65f02264b423eb5c985f,16,32
19ac65f02264b423eb5c985f,0,32
19ac65f02264b423eb5c985f,0,32
19ac65f02264b423eb5c985f,0,32
19ac65f02264b423eb5c985f,0,32
19ac65f02264b423eb5c985f,0,32
19ac65f02264b423eb5c985f,0,32
19ac65f02264b423eb5c985f,0,32
1a194723ee0217fa9e1c4eec,0,32
1a194723ee0217fa9e1c4eec,0,32
1a194723ee0217fa9e1c4eec,0,32
1a194723ee0217fa9e1c4eec,0,32
1a194723ee0217fa9e1c4eec,0,32
1a194723ee0217fa9e1c4eec,0,32
1a194723ee0217fa9e1c4eec,0,32
1a194723ee0217fa9e1c4eec,0,32
1aea693e1f4615c67d9117cd,16,31
1aea693e1f4615c67d9117cd,0,32
1aea693e1f4615c67d9117cd,16,32
1aea693e1f4615c67d9117cd,0,32
1aea693e1f4615c67d9117cd,0,32
1aea693e1f4615c67d9117cd,0,32
1aea693e1f4615c67d9117cd,0,31
1aea693e1f4615c67d9117cd,0,32
1bfcf025d1a0e6201d1bcbfe,0,32
1bfcf025d1a0e6201d1bcbfe,0,32
1bfcf025d1a0e6201d1bcbfe,0,32
1bfcf025d1a0e6201d1bcbfe,0,32
1bfcf025d1a0e6201d1bcbfe,0,32
1bfcf025d1a0e6201d1bcbfe,0,32
1bfcf025d1a0e6201d1bcbfe,0,31
1bfcf025d1a0e6201d1bcbfe,0,32
1e834e3ec0a0f99cc61db643,16,32
1e834e3ec0a0f99cc61db643,16,31
1e834e3ec0a0f99cc61db643,0,32
1e834e3ec0a0f99cc61db643,0,32
1e834e3ec0a0f99cc61db643,0,31
1e834e3ec0a0f99cc61db643,0,32
1e834e3ec0a0f99cc61db643,16,32
1e834e3ec0a0f99cc61db643,16,32
1f9d63139f3b6ecb2d4b6e65,0,32
1f9d63139f3b6ecb2d4b6e65,0,32
1f9d63139f3b6ecb2d4b6e65,0,32
1f9d63139f3b6ecb2d4b6e65,0,32
1f9d63139f3b6ecb2d4b6e65,0,32
1f9d63139f3b6ecb2d4b6e65,0,32
1f9d63139f3b6ecb2d4b6e65,0,32
1f9d63139f3b6ecb2d4b6e65,0,32
25af3dad41b1dd1d352cfeb9,0,32
25af3dad41b1dd1d352cfeb9,16,32
25af3dad41b1dd1d352cfeb9,0,32
25af3dad41b1dd1d352cfeb9,0,32
25af3dad41b1dd1d352cfeb9,0,32
25af3dad41b1dd1d352cfeb9,0,32
25af3dad41b1dd1d352cfeb9,0,32
25af3dad41b1dd1d352cfeb9,0,32
2a1ff0250299abe415b0a6a8,0,32
2a1ff0250299abe415b0a6a8,0,32
2a1ff0250299abe415b0a6a8,0,32
2a1ff0250299abe415b0a6a8,0,32
2a1ff0250299abe415b0a6a8,0,32
2a1ff0250299abe415b0a6a8,0,32
2a1ff0250299abe415b0a6a8,0,31
2a1ff0250299abe415b0a6a8,0,32
2a7e6ad0e13612f0c7fcb2d0,16,32
2a7e6ad0e13612f0c7fcb2d0,0,32
2a7e6ad0e13612f0c7fcb2d0,0,32
2a7e6ad0e13612f0c7fcb2d0,0,32
2a7e6ad0e13612f0c7fcb2d0,0,32
2a7e6ad0e13612f0c7fcb2d0,0,32
2a7e6ad0e13612f0c7fcb2d0,0,32
2a7e6ad0e13612f0c7fcb2d0,8,32
2dcba40fe36bbfa17f56a50c,16,32
2dcba40fe36bbfa17f56a50c,0,32
2dcba40fe36bbfa17f56a50c,0,32
2dcba40fe36bbfa17f56a50c,0,32
2dcba40fe36bbfa17f56a50c,0,32
2dcba40fe36bbfa17f56a50c,0,32
2dcba40fe36bbfa17f56a50c,16,32
2dcba40fe36bbfa17f56a50c,0,32
2f0ead59b8a7bf775ff20d23,0,32
2f0ead59b8a7bf775ff20d23,0,32
2f0ead59b8a7bf775ff20d23,0,32
2f0ead59b8a7bf775ff20d23,0,32
2f0ead59b8a7bf775ff20d23,0,32
2f0ead59b8a7bf775ff20d23,0,32
2f0ead59b8a7bf775ff20d23,0,32
2f0ead59b8a7bf775ff20d23,0,31
30f48754fa679c36708dda03,16,32
30f48754fa679c36708dda03,0,32
30f48754fa679c36708dda03,0,32
30f48754fa679c36708dda03,0,32
30f48754fa679c36708dda03,16,32
30f48754fa679c36708dda03,0,32
30f48754fa679c36708dda03,0,32
30f48754fa679c36708dda03,0,32
32fc02f2435739aa802dfd08,0,32
32fc02f2435739aa802dfd08,0,32
32fc02f2435739aa802dfd08,0,32
32fc02f2435739aa802dfd08,0,32
32fc02f2435739aa802dfd08,0,31
32fc02f2435739aa802dfd08,0,32
32fc02f2435739aa802dfd08,0,32
32fc02f2435739aa802dfd08,0,32
331cdf0473bcf0edee82152a,0,32
331cdf0473bcf0edee82152a,0,31
331cdf0473bcf0edee82152a,0,32
331cdf0473bcf0edee82152a,0,32
331cdf0473bcf0edee82152a,0,32
331cdf0473bcf0edee82152a,0,32
331cdf0473bcf0edee82152a,0,32
331cdf0473bcf0edee82152a,0,32
33c5b07f6aec728b4ad1b85d,0,32
33c5b07f6aec728b4ad1b85d,0,32
33c5b07f6aec728b4ad1b85d,0,32
33c5b07f6aec728b4ad1b85d,0,32
33c5b07f6aec728b4ad1b85d,0,32
33c5b07f6aec728b4ad1b85d,0,32
33c5b07f6aec728b4ad1b85d,0,32
33c5b07f6aec728b4ad1b85d,0,32
346c5897461de3a44f7daf03,13,32
346c5897461de3a44f7daf03,0,32
346c5897461de3a44f7daf03,0,32
346c5897461de3a44f7daf03,0,32
346c5897461de3a44f7daf03,0,32
346c5897461de3a44f7daf03,0,32
346c5897461de3a44f7daf03,0,32
346c5897461de3a44f7daf03,0,32
35ed1b29dc27265ecc7a2bb5,16,32
35ed1b29dc27265ecc7a2bb5,0,32
35ed1b29dc27265ecc7a2bb5,0,32
35ed1b29dc27265ecc7a2bb5,0,32
35ed1b29dc27265ecc7a2bb5,0,32
35ed1b29dc27265ecc7a2bb5,0,32
35ed1b29dc27265ecc7a2bb5,0,32
35ed1b29dc27265ecc7a2bb5,0,31
367825824fbf202a48c58ab2,16,32
367825824fbf202a48c58ab2,0,32
367825824fbf202a48c58ab2,0,32
367825824fbf202a48c58ab2,0,32
367825824fbf202a48c58ab2,0,32
367825824fbf202a48c58ab2,0,31
367825824fbf202a48c58ab2,0,32
367825824fbf202a48c58ab2,0,32
37d915e603b9ccdd2eab691d,16,32
37d915e603b9ccdd2eab691d,0,32
37d915e603b9ccdd2eab691d,0,32
37d915e603b9ccdd2eab691d,0,32
37d915e603b9ccdd2eab691d,0,32
37d915e603b9ccdd2eab691d,0,32
37d915e603b9ccdd2eab691d,0,32
37d915e603b9ccdd2eab691d,0,32
38e48d375151c434affdea91,16,32
38e48d375151c434affdea91,16,32
38e48d375151c434affdea91,0,32
38e48d375151c434affdea91,0,32
38e48d375151c434affdea91,0,32
38e48d375151c434affdea91,0,32
38e48d375151c434affdea91,0,32
38e48d375151c434affdea91,16,32
39e7cd68f53b712ca8b8f1df,16,32
39e7cd68f53b712ca8b8f1df,16,32
39e7cd68f53b712ca8b8f1df,16,32
39e7cd68f53b712ca8b8f1df,16,32
39e7cd68f53b712ca8b8f1df,0,32
39e7cd68f53b712ca8b8f1df,0,32
39e7cd68f53b712ca8b8f1df,0,32
39e7cd68f53b712ca8b8f1df,16,32
3b5677861dc39d67411e6e62,0,32
3b5677861dc39d67411e6e62,0,32
3b5677861dc39d67411e6e62,0,32
3b5677861dc39d67411e6e62,0,32
3b5677861dc39d67411e6e62,0,32
3b5677861dc39d67411e6e62,0,32
3b5677861dc39d67411e6e62,0,32
3b5677861dc39d67411e6e62,0,32
3b66f59f9c5ac43c885e27ed,16,32
3b66f59f9c5ac43c885e27ed,0,32
3b66f59f9c5ac43c885e27ed,0,32
3b66f59f9c5ac43c885e27ed,0,31
3b66f59f9c5ac43c885e27ed,0,32
3b66f59f9c5ac43c885e27ed,0,32
3b66f59f9c5ac43c885e27ed,0,32
3b66f59f9c5ac43c885e27ed,0,32
3c0358d9a587616925762eba,0,32
3c0358d9a587616925762eba,0,32
3c0358d9a587616925762eba,0,32
3c0358d9a587616925762eba,0,32
3c0358d9a587616925762eba,0,32
3c0358d9a587616925762eba,0,31
3c0358d9a587616925762eba,0,32
3c0358d9a587616925762eba,0,32
3c74e62c8d3924662e67cd75,16,32
3c74e62c8d3924662e67cd75,0,32
3c74e62c8d3924662e67cd75,16,32
3c74e62c8d3924662e67cd75,0,32
3c74e62c8d3924662e67cd75,16,32
3c74e62c8d3924662e67cd75,0,32
3c74e62c8d3924662e67cd75,0,32
3c74e62c8d3924662e67cd75,0,32
3d1ac6166461c3ade74fcc1a,16,32
3d1ac6166461c3ade74fcc1a,0,32
3d1ac6166461c3ade74fcc1a,0,31
3d1ac6166461c3ade74fcc1a,0,32
3d1ac6166461c3ade74fcc1a,0,32
3d1ac6166461c3ade74fcc1a,0,32
3d1ac6166461c3ade74fcc1a,0,32
3d1ac6166461c3ade74fcc1a,0,32
3f3513e83cb3694e5e2368c3,0,32
3f3513e83cb3694e5e2368c3,0,32
3f3513e83cb3694e5e2368c3,0,32
3f3513e83cb3694e5e2368c3,0,32
3f3513e83cb3694e5e2368c3,0,32
3f3513e83cb3694e5e2368c3,0,32
3f3513e83cb3694e5e2368c3,0,32
3f3513e83cb3694e5e2368c3,0,32
3fe04fe0823a2d706add53c0,16,32
3fe04fe0823a2d706add53c0,0,31
3fe04fe0823a2d706add53c0,0,32
3fe04fe0823a2d706add53c0,0,31
3fe04fe0823a2d706add53c0,0,32
3fe04fe0823a2d706add53c0,0,32
3fe04fe0823a2d706add53c0,0,32
3fe04fe0823a2d706add53c0,0,32
42aeac834a78b48dab8e0b27,16,32
42aeac834a78b48dab8e0b27,0,32
42aeac834a78b48dab8e0b27,0,32
42aeac834a78b48dab8e0b27,0,32
42aeac834a78b48dab8e0b27,0,32
42aeac834a78b48dab8e0b27,0,31
42aeac834a78b48dab8e0b27,0,32
42aeac834a78b48dab8e0b27,0,32
42e847a39519793337b1bcc3,0,32
42e847a39519793337b1bcc3,16,32
42e847a39519793337b1bcc3,0,32
42e847a39519793337b1bcc3,0,32
42e847a39519793337b1bcc3,0,32
42e847a39519793337b1bcc3,0,32
42e847a39519793337b1bcc3,0,32
42e847a39519793337b1bcc3,0,32
43c3e7b030bf71e4a1e156d7,16,32
43c3e7b030bf71e4a1e156d7,0,32
43c3e7b030bf71e4a1e156d7,0,32
43c3e7b030bf71e4a1e156d7,0,32
43c3e7b030bf71e4a1e156d7,0,32
43c3e7b030bf71e4a1e156d7,0,32
43c3e7b030bf71e4a1e156d7,0,32
43c3e7b030bf71e4a1e156d7,16,32
45dd9375e0018b2b01b0ca8e,0,32
45dd9375e0018b2b01b0ca8e,16,32
45dd9375e0018b2b01b0ca8e,0,32
45dd9375e0018b2b01b0ca8e,0,32
45dd9375e0018b2b01b0ca8e,0,32
45dd9375e0018b2b01b0ca8e,0,32
45dd9375e0018b2b01b0ca8e,0,32
45dd9375e0018b2b01b0ca8e,0,32
4680fa8cd352c5b8904b1d1e,0,32
4680fa8cd352c5b8904b1d1e,0,32
4680fa8cd352c5b8904b1d1e,0,32
4680fa8cd352c5b8904b1d1e,0,32
4680fa8cd352c5b8904b1d1e,0,32
4680fa8cd352c5b8904b1d1e,0,32
4680fa8cd352c5b8904b1d1e,0,32
4680fa8cd352c5b8904b1d1e,0,32
