dataset,category,prompt_type,prompt,object_type,material_or_surface,inspection_focus
MVTec AD,grid,normal,a normal grid texture with regular repeated pattern,regular texture surface,grid-like patterned surface,broken grid structure; foreign material; local pattern interruption
MVTec AD,grid,normal,an intact grid surface without local defects,regular texture surface,grid-like patterned surface,broken grid structure; foreign material; local pattern interruption
MVTec AD,grid,defect,a defective grid texture with broken local pattern,regular texture surface,grid-like patterned surface,broken grid structure; foreign material; local pattern interruption
MVTec AD,grid,defect,a grid surface with contamination or thread-like defect,regular texture surface,grid-like patterned surface,broken grid structure; foreign material; local pattern interruption
MVTec AD,grid,defect,an abnormal local interruption in a regular grid pattern,regular texture surface,grid-like patterned surface,broken grid structure; foreign material; local pattern interruption
MVTec AD,screw,normal,a normal screw with intact head and thread,small metal fastener,metal object with thread and head structure,thread damage; scratch on head; neck defect; small structural defect
MVTec AD,screw,normal,a metal screw without scratches or thread damage,small metal fastener,metal object with thread and head structure,thread damage; scratch on head; neck defect; small structural defect
MVTec AD,screw,defect,a defective screw with damaged thread,small metal fastener,metal object with thread and head structure,thread damage; scratch on head; neck defect; small structural defect
MVTec AD,screw,defect,a screw with a scratch on the head or neck,small metal fastener,metal object with thread and head structure,thread damage; scratch on head; neck defect; small structural defect
MVTec AD,screw,defect,a small structural defect on a metal screw,small metal fastener,metal object with thread and head structure,thread damage; scratch on head; neck defect; small structural defect
MVTec AD,leather,normal,a normal leather surface with natural regular texture,textured surface material,leather-like surface texture,cut; fold; glue; color defect; surface damage
MVTec AD,leather,normal,an intact leather texture without abnormal cuts or color defects,textured surface material,leather-like surface texture,cut; fold; glue; color defect; surface damage
MVTec AD,leather,defect,a leather surface with a cut defect,textured surface material,leather-like surface texture,cut; fold; glue; color defect; surface damage
MVTec AD,leather,defect,a leather surface with abnormal color or glue contamination,textured surface material,leather-like surface texture,cut; fold; glue; color defect; surface damage
MVTec AD,leather,defect,a local defect on a textured leather surface,textured surface material,leather-like surface texture,cut; fold; glue; color defect; surface damage
MVTec AD,wood,normal,a normal wood surface with natural grain,natural textured material,wood surface with natural grain,scratch; hole; liquid stain; color defect
MVTec AD,wood,normal,an intact wood texture without abnormal stains or scratches,natural textured material,wood surface with natural grain,scratch; hole; liquid stain; color defect
MVTec AD,wood,defect,a wood surface with a scratch or hole,natural textured material,wood surface with natural grain,scratch; hole; liquid stain; color defect
MVTec AD,wood,defect,a wood surface with liquid stain or abnormal color,natural textured material,wood surface with natural grain,scratch; hole; liquid stain; color defect
