dataset,category,defect_type,image_path,generic_prompt,category_aware_prompt,manufacturing_aware_prompt,normal_prompt,manufacturing_processes,inspection_focus,possible_causes,material_or_surface,object_type
MVTecAD,grid,bent,datasets/MVTecAD/grid/test/bent/000.png,"a photo of an industrial defect: bent, showing local shape deformation or bending","a photo of a defective regular grid-like structure with bent, showing local shape deformation or bending","a quality inspection image of a defective regular grid-like structure made of regular repeated texture surface. The defect type is bent. The visual evidence may include local shape deformation or bending. The relevant manufacturing processes include molding, surface forming, pattern alignment, inspection. The inspection should focus on broken repeated structure, local contamination, missing or deformed grid pattern, irregular texture interruption. Possible manufacturing causes include molding defect, surface contamination, mechanical impact, pattern forming error.",a normal quality inspection image of a defect-free regular grid-like structure with regular regular repeated texture surface and no visible defect,"molding, surface forming, pattern alignment, inspection","broken repeated structure, local contamination, missing or deformed grid pattern, irregular texture interruption","molding defect, surface contamination, mechanical impact, pattern forming error",regular repeated texture surface,regular grid-like structure
MVTecAD,grid,bent,datasets/MVTecAD/grid/test/bent/001.png,"a photo of an industrial defect: bent, showing local shape deformation or bending","a photo of a defective regular grid-like structure with bent, showing local shape deformation or bending","a quality inspection image of a defective regular grid-like structure made of regular repeated texture surface. The defect type is bent. The visual evidence may include local shape deformation or bending. The relevant manufacturing processes include molding, surface forming, pattern alignment, inspection. The inspection should focus on broken repeated structure, local contamination, missing or deformed grid pattern, irregular texture interruption. Possible manufacturing causes include molding defect, surface contamination, mechanical impact, pattern forming error.",a normal quality inspection image of a defect-free regular grid-like structure with regular regular repeated texture surface and no visible defect,"molding, surface forming, pattern alignment, inspection","broken repeated structure, local contamination, missing or deformed grid pattern, irregular texture interruption","molding defect, surface contamination, mechanical impact, pattern forming error",regular repeated texture surface,regular grid-like structure
MVTecAD,grid,bent,datasets/MVTecAD/grid/test/bent/002.png,"a photo of an industrial defect: bent, showing local shape deformation or bending","a photo of a defective regular grid-like structure with bent, showing local shape deformation or bending","a quality inspection image of a defective regular grid-like structure made of regular repeated texture surface. The defect type is bent. The visual evidence may include local shape deformation or bending. The relevant manufacturing processes include molding, surface forming, pattern alignment, inspection. The inspection should focus on broken repeated structure, local contamination, missing or deformed grid pattern, irregular texture interruption. Possible manufacturing causes include molding defect, surface contamination, mechanical impact, pattern forming error.",a normal quality inspection image of a defect-free regular grid-like structure with regular regular repeated texture surface and no visible defect,"molding, surface forming, pattern alignment, inspection","broken repeated structure, local contamination, missing or deformed grid pattern, irregular texture interruption","molding defect, surface contamination, mechanical impact, pattern forming error",regular repeated texture surface,regular grid-like structure
MVTecAD,grid,bent,datasets/MVTecAD/grid/test/bent/003.png,"a photo of an industrial defect: bent, showing local shape deformation or bending","a photo of a defective regular grid-like structure with bent, showing local shape deformation or bending","a quality inspection image of a defective regular grid-like structure made of regular repeated texture surface. The defect type is bent. The visual evidence may include local shape deformation or bending. The relevant manufacturing processes include molding, surface forming, pattern alignment, inspection. The inspection should focus on broken repeated structure, local contamination, missing or deformed grid pattern, irregular texture interruption. Possible manufacturing causes include molding defect, surface contamination, mechanical impact, pattern forming error.",a normal quality inspection image of a defect-free regular grid-like structure with regular regular repeated texture surface and no visible defect,"molding, surface forming, pattern alignment, inspection","broken repeated structure, local contamination, missing or deformed grid pattern, irregular texture interruption","molding defect, surface contamination, mechanical impact, pattern forming error",regular repeated texture surface,regular grid-like structure
MVTecAD,grid,bent,datasets/MVTecAD/grid/test/bent/004.png,"a photo of an industrial defect: bent, showing local shape deformation or bending","a photo of a defective regular grid-like structure with bent, showing local shape deformation or bending","a quality inspection image of a defective regular grid-like structure made of regular repeated texture surface. The defect type is bent. The visual evidence may include local shape deformation or bending. The relevant manufacturing processes include molding, surface forming, pattern alignment, inspection. The inspection should focus on broken repeated structure, local contamination, missing or deformed grid pattern, irregular texture interruption. Possible manufacturing causes include molding defect, surface contamination, mechanical impact, pattern forming error.",a normal quality inspection image of a defect-free regular grid-like structure with regular regular repeated texture surface and no visible defect,"molding, surface forming, pattern alignment, inspection","broken repeated structure, local contamination, missing or deformed grid pattern, irregular texture interruption","molding defect, surface contamination, mechanical impact, pattern forming error",regular repeated texture surface,regular grid-like structure
MVTecAD,grid,bent,datasets/MVTecAD/grid/test/bent/005.png,"a photo of an industrial defect: bent, showing local shape deformation or bending","a photo of a defective regular grid-like structure with bent, showing local shape deformation or bending","a quality inspection image of a defective regular grid-like structure made of regular repeated texture surface. The defect type is bent. The visual evidence may include local shape deformation or bending. The relevant manufacturing processes include molding, surface forming, pattern alignment, inspection. The inspection should focus on broken repeated structure, local contamination, missing or deformed grid pattern, irregular texture interruption. Possible manufacturing causes include molding defect, surface contamination, mechanical impact, pattern forming error.",a normal quality inspection image of a defect-free regular grid-like structure with regular regular repeated texture surface and no visible defect,"molding, surface forming, pattern alignment, inspection","broken repeated structure, local contamination, missing or deformed grid pattern, irregular texture interruption","molding defect, surface contamination, mechanical impact, pattern forming error",regular repeated texture surface,regular grid-like structure
MVTecAD,grid,bent,datasets/MVTecAD/grid/test/bent/006.png,"a photo of an industrial defect: bent, showing local shape deformation or bending","a photo of a defective regular grid-like structure with bent, showing local shape deformation or bending","a quality inspection image of a defective regular grid-like structure made of regular repeated texture surface. The defect type is bent. The visual evidence may include local shape deformation or bending. The relevant manufacturing processes include molding, surface forming, pattern alignment, inspection. The inspection should focus on broken repeated structure, local contamination, missing or deformed grid pattern, irregular texture interruption. Possible manufacturing causes include molding defect, surface contamination, mechanical impact, pattern forming error.",a normal quality inspection image of a defect-free regular grid-like structure with regular regular repeated texture surface and no visible defect,"molding, surface forming, pattern alignment, inspection","broken repeated structure, local contamination, missing or deformed grid pattern, irregular texture interruption","molding defect, surface contamination, mechanical impact, pattern forming error",regular repeated texture surface,regular grid-like structure
MVTecAD,grid,bent,datasets/MVTecAD/grid/test/bent/007.png,"a photo of an industrial defect: bent, showing local shape deformation or bending","a photo of a defective regular grid-like structure with bent, showing local shape deformation or bending","a quality inspection image of a defective regular grid-like structure made of regular repeated texture surface. The defect type is bent. The visual evidence may include local shape deformation or bending. The relevant manufacturing processes include molding, surface forming, pattern alignment, inspection. The inspection should focus on broken repeated structure, local contamination, missing or deformed grid pattern, irregular texture interruption. Possible manufacturing causes include molding defect, surface contamination, mechanical impact, pattern forming error.",a normal quality inspection image of a defect-free regular grid-like structure with regular regular repeated texture surface and no visible defect,"molding, surface forming, pattern alignment, inspection","broken repeated structure, local contamination, missing or deformed grid pattern, irregular texture interruption","molding defect, surface contamination, mechanical impact, pattern forming error",regular repeated texture surface,regular grid-like structure
MVTecAD,grid,bent,datasets/MVTecAD/grid/test/bent/008.png,"a photo of an industrial defect: bent, showing local shape deformation or bending","a photo of a defective regular grid-like structure with bent, showing local shape deformation or bending","a quality inspection image of a defective regular grid-like structure made of regular repeated texture surface. The defect type is bent. The visual evidence may include local shape deformation or bending. The relevant manufacturing processes include molding, surface forming, pattern alignment, inspection. The inspection should focus on broken repeated structure, local contamination, missing or deformed grid pattern, irregular texture interruption. Possible manufacturing causes include molding defect, surface contamination, mechanical impact, pattern forming error.",a normal quality inspection image of a defect-free regular grid-like structure with regular regular repeated texture surface and no visible defect,"molding, surface forming, pattern alignment, inspection","broken repeated structure, local contamination, missing or deformed grid pattern, irregular texture interruption","molding defect, surface contamination, mechanical impact, pattern forming error",regular repeated texture surface,regular grid-like structure
MVTecAD,grid,bent,datasets/MVTecAD/grid/test/bent/009.png,"a photo of an industrial defect: bent, showing local shape deformation or bending","a photo of a defective regular grid-like structure with bent, showing local shape deformation or bending","a quality inspection image of a defective regular grid-like structure made of regular repeated texture surface. The defect type is bent. The visual evidence may include local shape deformation or bending. The relevant manufacturing processes include molding, surface forming, pattern alignment, inspection. The inspection should focus on broken repeated structure, local contamination, missing or deformed grid pattern, irregular texture interruption. Possible manufacturing causes include molding defect, surface contamination, mechanical impact, pattern forming error.",a normal quality inspection image of a defect-free regular grid-like structure with regular regular repeated texture surface and no visible defect,"molding, surface forming, pattern alignment, inspection","broken repeated structure, local contamination, missing or deformed grid pattern, irregular texture interruption","molding defect, surface contamination, mechanical impact, pattern forming error",regular repeated texture surface,regular grid-like structure
