file_a,file_b,best_key_a,best_key_b,overlap_count,overlap_ratio_a,overlap_ratio_b,notes
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,results/stage11_mvtecad2_multicategory/stage11_b1_patchcore_detector_quality_analysis.csv,category,category,8,1.0,1.0,strong possible join
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,image_path,image_path,118,0.21731123388581952,0.48559670781893005,partial possible join
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,image_path,image_path,118,0.21731123388581952,0.48559670781893005,partial possible join
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,results/stage11_mvtecad2_multicategory/stage11_d_vlm_image_predictions.csv,image_path,image_path,118,0.21731123388581952,0.48559670781893005,partial possible join
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,results/stage11_mvtecad2_multicategory/stage11_e_multicategory_evidence_table.csv,category,category,4,0.5,0.8,partial possible join
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,results/stage13_strong_baseline/stage13_a_patchcore_vlm_fusion_per_category.csv,category,category,4,0.5,1.0,strong possible join
results/stage11_mvtecad2_multicategory/stage11_b_patchcore_multicategory_predictions.csv,results/stage13_strong_baseline/stage13_a_patchcore_vlm_score_complementarity.csv,category,category,4,0.5,0.8,partial possible join
results/stage11_mvtecad2_multicategory/stage11_b1_patchcore_detector_quality_analysis.csv,results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,category,category,4,0.5,1.0,strong possible join
results/stage11_mvtecad2_multicategory/stage11_b1_patchcore_detector_quality_analysis.csv,results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,category,category,4,0.5,1.0,strong possible join
results/stage11_mvtecad2_multicategory/stage11_b1_patchcore_detector_quality_analysis.csv,results/stage11_mvtecad2_multicategory/stage11_d_vlm_image_predictions.csv,category,category,4,0.5,1.0,strong possible join
results/stage11_mvtecad2_multicategory/stage11_b1_patchcore_detector_quality_analysis.csv,results/stage11_mvtecad2_multicategory/stage11_e_multicategory_evidence_table.csv,category,category,4,0.5,0.8,partial possible join
results/stage11_mvtecad2_multicategory/stage11_b1_patchcore_detector_quality_analysis.csv,results/stage13_strong_baseline/stage13_a_patchcore_vlm_fusion_per_category.csv,category,category,4,0.5,1.0,strong possible join
results/stage11_mvtecad2_multicategory/stage11_b1_patchcore_detector_quality_analysis.csv,results/stage13_strong_baseline/stage13_a_patchcore_vlm_score_complementarity.csv,category,category,4,0.5,0.8,partial possible join
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,image_path,image_path,243,1.0,1.0,strong possible join
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,results/stage11_mvtecad2_multicategory/stage11_d_vlm_image_predictions.csv,image_path,image_path,243,1.0,1.0,strong possible join
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,results/stage11_mvtecad2_multicategory/stage11_e_multicategory_evidence_table.csv,category,category,4,1.0,0.8,strong possible join
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,results/stage13_strong_baseline/stage13_a_patchcore_vlm_fusion_per_category.csv,category,category,4,1.0,1.0,strong possible join
results/stage11_mvtecad2_multicategory/stage11_c_candidate_regions.csv,results/stage13_strong_baseline/stage13_a_patchcore_vlm_score_complementarity.csv,category,category,4,1.0,0.8,strong possible join
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,results/stage11_mvtecad2_multicategory/stage11_d_vlm_image_predictions.csv,image_path,image_path,243,1.0,1.0,strong possible join
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,results/stage11_mvtecad2_multicategory/stage11_e_multicategory_evidence_table.csv,category,category,4,1.0,0.8,strong possible join
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,results/stage13_strong_baseline/stage13_a_patchcore_vlm_fusion_per_category.csv,category,category,4,1.0,1.0,strong possible join
results/stage11_mvtecad2_multicategory/stage11_d_vlm_candidate_scores.csv,results/stage13_strong_baseline/stage13_a_patchcore_vlm_score_complementarity.csv,category,category,4,1.0,0.8,strong possible join
results/stage11_mvtecad2_multicategory/stage11_d_vlm_image_predictions.csv,results/stage11_mvtecad2_multicategory/stage11_e_multicategory_evidence_table.csv,category,category,4,1.0,0.8,strong possible join
results/stage11_mvtecad2_multicategory/stage11_d_vlm_image_predictions.csv,results/stage13_strong_baseline/stage13_a_patchcore_vlm_fusion_per_category.csv,category,category,4,1.0,1.0,strong possible join
results/stage11_mvtecad2_multicategory/stage11_d_vlm_image_predictions.csv,results/stage13_strong_baseline/stage13_a_patchcore_vlm_score_complementarity.csv,category,category,4,1.0,0.8,strong possible join
results/stage11_mvtecad2_multicategory/stage11_e_multicategory_evidence_table.csv,results/stage13_strong_baseline/stage13_a_patchcore_vlm_fusion_per_category.csv,category,category,4,0.8,1.0,strong possible join
results/stage11_mvtecad2_multicategory/stage11_e_multicategory_evidence_table.csv,results/stage13_strong_baseline/stage13_a_patchcore_vlm_score_complementarity.csv,category,category,5,1.0,1.0,strong possible join
results/stage13_strong_baseline/stage13_a_patchcore_vlm_fusion_per_category.csv,results/stage13_strong_baseline/stage13_a_patchcore_vlm_score_complementarity.csv,category,category,4,1.0,0.8,strong possible join
