dataset,category,split,label,is_anomaly,image_rel_path,image_path,mask_rel_path,mask_path,image_exists,mask_exists,has_pixel_mask,source_split_csv
VisA,candle,train,normal,0,candle/Data/Images/Normal/0836.JPG,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0836.JPG,,,1,0,0,/root/private_data/iad-vlm-anomaly/datasets/VisA/split_csv/1cls.csv
VisA,candle,train,normal,0,candle/Data/Images/Normal/0451.JPG,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0451.JPG,,,1,0,0,/root/private_data/iad-vlm-anomaly/datasets/VisA/split_csv/1cls.csv
VisA,candle,train,normal,0,candle/Data/Images/Normal/0516.JPG,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0516.JPG,,,1,0,0,/root/private_data/iad-vlm-anomaly/datasets/VisA/split_csv/1cls.csv
VisA,candle,train,normal,0,candle/Data/Images/Normal/0977.JPG,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0977.JPG,,,1,0,0,/root/private_data/iad-vlm-anomaly/datasets/VisA/split_csv/1cls.csv
VisA,candle,train,normal,0,candle/Data/Images/Normal/0249.JPG,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0249.JPG,,,1,0,0,/root/private_data/iad-vlm-anomaly/datasets/VisA/split_csv/1cls.csv
VisA,candle,train,normal,0,candle/Data/Images/Normal/0548.JPG,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0548.JPG,,,1,0,0,/root/private_data/iad-vlm-anomaly/datasets/VisA/split_csv/1cls.csv
VisA,candle,train,normal,0,candle/Data/Images/Normal/0362.JPG,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0362.JPG,,,1,0,0,/root/private_data/iad-vlm-anomaly/datasets/VisA/split_csv/1cls.csv
VisA,candle,train,normal,0,candle/Data/Images/Normal/0074.JPG,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0074.JPG,,,1,0,0,/root/private_data/iad-vlm-anomaly/datasets/VisA/split_csv/1cls.csv
VisA,candle,train,normal,0,candle/Data/Images/Normal/0650.JPG,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0650.JPG,,,1,0,0,/root/private_data/iad-vlm-anomaly/datasets/VisA/split_csv/1cls.csv
VisA,candle,train,normal,0,candle/Data/Images/Normal/0898.JPG,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0898.JPG,,,1,0,0,/root/private_data/iad-vlm-anomaly/datasets/VisA/split_csv/1cls.csv
VisA,candle,train,normal,0,candle/Data/Images/Normal/0397.JPG,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0397.JPG,,,1,0,0,/root/private_data/iad-vlm-anomaly/datasets/VisA/split_csv/1cls.csv
VisA,candle,train,normal,0,candle/Data/Images/Normal/0090.JPG,/root/private_data/iad-vlm-anomaly/datasets/VisA/candle/Data/Images/Normal/0090.JPG,,,1,0,0,/root/private_data/iad-vlm-anomaly/datasets/VisA/split_csv/1cls.csv
