category,num_images,num_train,num_test,num_normal,num_anomaly,num_masks,num_missing_images,num_missing_masks
candle,1100,900,200,1000,100,100,0,0
capsules,702,542,160,602,100,100,0,0
cashew,600,450,150,500,100,100,0,0
chewinggum,603,453,150,503,100,100,0,0
fryum,600,450,150,500,100,100,0,0
macaroni1,1100,900,200,1000,100,100,0,0
macaroni2,1100,900,200,1000,100,100,0,0
pcb1,1104,904,200,1004,100,100,0,0
pcb2,1101,901,200,1001,100,100,0,0
pcb3,1106,905,201,1006,100,100,0,0
pcb4,1105,904,201,1005,100,100,0,0
pipe_fryum,600,450,150,500,100,100,0,0
