category,strategy,normal_prompts,anomaly_prompts
candle,inspection_binary,a quality inspection image of a normal candle || an industrial inspection photo of a defect-free candle || a close-up inspection image showing a normal candle,"a quality inspection image of a defective candle || an industrial inspection photo showing an anomaly on a candle || a close-up inspection image showing damage, contamination, or abnormal texture on a candle"
capsules,inspection_binary,a quality inspection image of a normal capsules || an industrial inspection photo of a defect-free capsules || a close-up inspection image showing a normal capsules,"a quality inspection image of a defective capsules || an industrial inspection photo showing an anomaly on a capsules || a close-up inspection image showing damage, contamination, or abnormal texture on a capsules"
cashew,inspection_binary,a quality inspection image of a normal cashew nut || an industrial inspection photo of a defect-free cashew nut || a close-up inspection image showing a normal cashew nut,"a quality inspection image of a defective cashew nut || an industrial inspection photo showing an anomaly on a cashew nut || a close-up inspection image showing damage, contamination, or abnormal texture on a cashew nut"
chewinggum,inspection_binary,a quality inspection image of a normal chewing gum || an industrial inspection photo of a defect-free chewing gum || a close-up inspection image showing a normal chewing gum,"a quality inspection image of a defective chewing gum || an industrial inspection photo showing an anomaly on a chewing gum || a close-up inspection image showing damage, contamination, or abnormal texture on a chewing gum"
fryum,inspection_binary,a quality inspection image of a normal fryum snack || an industrial inspection photo of a defect-free fryum snack || a close-up inspection image showing a normal fryum snack,"a quality inspection image of a defective fryum snack || an industrial inspection photo showing an anomaly on a fryum snack || a close-up inspection image showing damage, contamination, or abnormal texture on a fryum snack"
macaroni1,inspection_binary,a quality inspection image of a normal macaroni || an industrial inspection photo of a defect-free macaroni || a close-up inspection image showing a normal macaroni,"a quality inspection image of a defective macaroni || an industrial inspection photo showing an anomaly on a macaroni || a close-up inspection image showing damage, contamination, or abnormal texture on a macaroni"
macaroni2,inspection_binary,a quality inspection image of a normal macaroni || an industrial inspection photo of a defect-free macaroni || a close-up inspection image showing a normal macaroni,"a quality inspection image of a defective macaroni || an industrial inspection photo showing an anomaly on a macaroni || a close-up inspection image showing damage, contamination, or abnormal texture on a macaroni"
pcb1,inspection_binary,a quality inspection image of a normal printed circuit board || an industrial inspection photo of a defect-free printed circuit board || a close-up inspection image showing a normal printed circuit board,"a quality inspection image of a defective printed circuit board || an industrial inspection photo showing an anomaly on a printed circuit board || a close-up inspection image showing damage, contamination, or abnormal texture on a printed circuit board"
pcb2,inspection_binary,a quality inspection image of a normal printed circuit board || an industrial inspection photo of a defect-free printed circuit board || a close-up inspection image showing a normal printed circuit board,"a quality inspection image of a defective printed circuit board || an industrial inspection photo showing an anomaly on a printed circuit board || a close-up inspection image showing damage, contamination, or abnormal texture on a printed circuit board"
pcb3,inspection_binary,a quality inspection image of a normal printed circuit board || an industrial inspection photo of a defect-free printed circuit board || a close-up inspection image showing a normal printed circuit board,"a quality inspection image of a defective printed circuit board || an industrial inspection photo showing an anomaly on a printed circuit board || a close-up inspection image showing damage, contamination, or abnormal texture on a printed circuit board"
pcb4,inspection_binary,a quality inspection image of a normal printed circuit board || an industrial inspection photo of a defect-free printed circuit board || a close-up inspection image showing a normal printed circuit board,"a quality inspection image of a defective printed circuit board || an industrial inspection photo showing an anomaly on a printed circuit board || a close-up inspection image showing damage, contamination, or abnormal texture on a printed circuit board"
pipe_fryum,inspection_binary,a quality inspection image of a normal pipe-shaped fryum snack || an industrial inspection photo of a defect-free pipe-shaped fryum snack || a close-up inspection image showing a normal pipe-shaped fryum snack,"a quality inspection image of a defective pipe-shaped fryum snack || an industrial inspection photo showing an anomaly on a pipe-shaped fryum snack || a close-up inspection image showing damage, contamination, or abnormal texture on a pipe-shaped fryum snack"
