category,image_path,path_key,Y,D,M,Q,M_raw,M_raw_runtime,M_runtime,srb_pre_gate,score_S1,score_S1_runtime,score_S1_abs_diff,num_eval_images,fallback,used_mode
bottle,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/bottle/test/broken_large/000.png,bottle/test/broken_large/000.png,1,0.9284293089077033,0.3717337793827445,0.8883220359547022,0.0062628984451293,0.0062628984451293945,0.37173377938275143,1,0.8838188338476686,0.8838188338476675,1.1102230246251565e-15,2.0,0.0,crop_top2_ensemble
bottle,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/bottle/test/broken_large/001.png,bottle/test/broken_large/001.png,1,0.8837105696842686,0.5089869016206043,0.8516799165117851,0.0081556737422943,0.008155673742294312,0.5089869016206051,1,0.82781910551225,0.82781910551225,0.0,3.0,0.0,crop_top3_ensemble
bottle,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/bottle/test/broken_large/002.png,bottle/test/broken_large/002.png,1,0.878069064751526,0.3399419530654031,0.9408399535774576,0.005824476480484,0.005824476480484009,0.33994195306540376,1,0.8280099929231263,0.8280099929231262,1.1102230246251565e-16,1.0,0.0,crop_top1_ensemble
bottle,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/bottle/test/broken_large/003.png,bottle/test/broken_large/003.png,1,0.9789976472790056,0.3763239390658445,0.8855078019126063,0.0063261985778808,0.006326198577880859,0.3763239390658488,1,0.9423064675036704,0.9423064675036696,7.771561172376096e-16,3.0,0.0,crop_top3_ensemble
bottle,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/bottle/test/broken_large/004.png,bottle/test/broken_large/004.png,1,0.9938475017430236,1.0,0.497230834872798,0.014926940202713,0.014926940202713013,1.0,1,0.9949094423841413,0.9949094423841411,1.1102230246251565e-16,1.0,0.0,crop_top1_ensemble
bottle,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/bottle/test/broken_large/005.png,bottle/test/broken_large/005.png,1,0.7801816037204531,0.627047364656204,0.8020164674641416,0.0097837746143341,0.009783774614334106,0.6270473646562045,1,0.7459727093721015,0.7459727093721016,1.1102230246251565e-16,1.0,0.0,crop_top1_ensemble
bottle,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/bottle/test/broken_large/006.png,bottle/test/broken_large/006.png,1,1.0,0.4729658180057892,0.7749358196819226,0.0076589286327362,0.007658928632736206,0.4729658180057897,1,0.9575038498240428,0.9575038498240426,2.220446049250313e-16,2.0,0.0,crop_top2_ensemble
bottle,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/bottle/test/broken_large/007.png,bottle/test/broken_large/007.png,1,0.8248859019851698,0.1804857702888754,0.9432365594047284,0.0036255121231079,0.00362551212310791,0.18048577028887622,1,0.7949324828552187,0.7949324828552186,1.1102230246251565e-16,2.0,0.0,crop_top2_ensemble
bottle,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/bottle/test/broken_large/008.png,bottle/test/broken_large/008.png,1,0.9418162220488024,0.7611280036479188,0.8815981905064586,0.0116328001022338,0.011632800102233887,0.761128003647925,1,0.899495070309009,0.8994950703090101,1.1102230246251565e-15,2.0,0.0,crop_top2_ensemble
bottle,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/bottle/test/broken_large/009.png,bottle/test/broken_large/009.png,1,0.8086889948919441,0.6212642821176104,0.5892459643047956,0.0097040235996246,0.009704023599624634,0.6212642821176129,1,0.7796948101163884,0.7796948101163886,2.220446049250313e-16,2.0,0.0,crop_top2_ensemble
