category,image_path,threshold,x1,y1,x2,y2,area,mean_score,max_score,gt_iou,gt_f1,stability,bbox_width,bbox_height,bbox_area,fill_ratio,aspect_ratio,aspect_score,relative_area,inside_mean,inside_max,inside_std,ring_mean,ring_max,local_contrast,peak_contrast,peak_margin,component_rank,mean_score_norm,max_score_norm,inside_mean_norm,inside_max_norm,inside_std_norm,local_contrast_norm,peak_contrast_norm,peak_margin_norm,stability_norm,fill_ratio_norm,aspect_score_norm,relative_area_norm,area_penalty_norm
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/001.png,0.9,152,85,168,102,245,0.9488164186477661,1.0,0.22435897435897437,0.36649214659685864,0.8971428571428571,17,18,306,0.8006535947712419,0.9444444444444444,0.9459320258045998,0.0048828125,0.9488164186477661,1.0,0.028939276933670044,0.7497139573097229,0.8998454809188843,0.1991024613380432,0.2502860426902771,0.10015451908111572,1,0.5152878,0.0,0.5152878,0.0,0.68897474,0.61051583,0.60042953,0.18744937,0.6331926,0.91488487,0.89957887,0.12380953,0.8761905
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/002.png,0.9,153,182,168,199,232,0.9497670531272888,1.0,0.5178571428571429,0.6823529411764706,0.9008620689655172,16,18,288,0.8055555555555556,0.8888888888888888,0.8946279985478406,0.004623724489795918,0.9497670531272888,1.0,0.029076270759105682,0.7415235042572021,0.8993352651596069,0.20824354887008667,0.25847649574279785,0.10066473484039307,1,0.7600921,0.0,0.7600921,0.0,0.8094648,0.7524465,0.7265544,0.81792736,0.873832,0.94434804,0.8042912,0.106122464,0.8938775
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/003.png,0.9,112,44,128,66,290,0.949863612651825,1.0,0.3590308370044053,0.5283630470016207,0.9,17,23,391,0.7416879795396419,0.7391304347826086,0.7678835047018736,0.005779655612244898,0.949863612651825,1.0,0.029061757028102875,0.7505802512168884,0.8995484709739685,0.19928336143493652,0.24941974878311157,0.1004515290260315,1,0.78495777,0.0,0.78495777,0.0,0.7966996,0.6133246,0.5870895,0.55446714,0.8180521,0.5604758,0.56888694,0.18503402,0.81496596
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/004.png,0.9,80,162,95,178,213,0.9495241641998291,1.0,0.31274900398406374,0.4764795144157815,0.8985915492957746,16,17,272,0.7830882352941176,0.9411764705882353,0.9428406426086842,0.004245057397959184,0.9495241641998291,1.0,0.028870129957795143,0.7324495315551758,0.8992486596107483,0.21707463264465332,0.2675504684448242,0.10075134038925171,1,0.69754416,0.0,0.69754416,0.0,0.6281579,0.88956374,0.86628455,0.9249466,0.72692776,0.80930936,0.89383715,0.0802721,0.9197279
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/005.png,0.9,190,108,203,121,154,0.947953462600708,1.0,0.35436893203883496,0.5232974910394266,0.8935064935064935,14,14,196,0.7857142857142857,1.0,1.0,0.0030691964285714285,0.947953462600708,1.0,0.028764577582478523,0.7237661480903625,0.8996245265007019,0.22418731451034546,0.27623385190963745,0.1003754734992981,1,0.29306215,0.0,0.29306215,0.0,0.53532153,1.0,1.0,0.46048465,0.3979175,0.8250931,1.0,0.0,1.0
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/006.png,0.9,51,46,67,61,214,0.9487769603729248,1.0,0.26976744186046514,0.4249084249084249,0.8953271028037383,17,16,272,0.7867647058823529,1.0625,0.9428406426086842,0.004264987244897959,0.9487769603729248,1.0,0.028725309297442436,0.7374224066734314,0.8999536633491516,0.2113545536994934,0.2625775933265686,0.10004633665084839,1,0.50512666,0.0,0.50512666,0.0,0.5007839,0.80075,0.7897072,0.0537674,0.51571316,0.83140653,0.89383715,0.081632644,0.9183674
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/008.png,0.9,163,110,181,134,367,0.9488403797149658,1.0,0.4416365824308063,0.6126878130217028,0.8964577656675748,19,25,475,0.7726315789473684,0.76,0.7846603018208851,0.007314253826530612,0.9488403797149658,1.0,0.029116151854395866,0.7594509720802307,0.899634063243866,0.1893894076347351,0.2405490279197693,0.10036593675613403,1,0.52145815,0.0,0.52145815,0.0,0.84454143,0.4597045,0.45048922,0.4487,0.5888702,0.7464605,0.6000467,0.2897959,0.7102041
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/011.png,0.9,60,147,75,170,297,0.949530839920044,1.0,0.3179190751445087,0.4824561403508772,0.8962962962962964,16,24,384,0.7734375,0.6666666666666666,0.7115082361212486,0.005919164540816327,0.949530839920044,1.0,0.028832685202360153,0.7435352206230164,0.8999823927879333,0.2059956192970276,0.25646477937698364,0.10001760721206665,1,0.6992632,0.0,0.6992632,0.0,0.59522414,0.7175436,0.69557595,0.018266186,0.5784231,0.7513044,0.4641804,0.19455783,0.80544215
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/014.png,0.9,111,13,125,27,174,0.9470930695533752,1.0,0.28270042194092826,0.4407894736842105,0.8873563218390805,15,15,225,0.7733333333333333,1.0,1.0,0.0034677933673469387,0.9470930695533752,1.0,0.029047999531030655,0.735640823841095,0.8998121023178101,0.21145224571228027,0.26435917615890503,0.10018789768218994,1,0.071496546,0.0,0.071496546,0.0,0.7845995,0.80226684,0.81714183,0.22869559,0.0,0.7506782,1.0,0.027210888,0.9727891
leather,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/leather/test/color/017.png,0.9,150,98,166,118,287,0.9497312903404236,1.0,0.45585874799357945,0.6262403528114664,0.8996515679442508,17,21,357,0.803921568627451,0.8095238095238095,0.8255531187110351,0.005719866071428571,0.9497312903404236,1.0,0.028514878824353218,0.7544229030609131,0.899817705154419,0.1953083872795105,0.24557709693908691,0.10018229484558105,1,0.75088257,0.0,0.75088257,0.0,0.3157041,0.55160654,0.5279165,0.22177212,0.79551107,0.934527,0.6759975,0.18095239,0.81904763
