dataset,category,batch_idx,item_idx,image_path,mask_path,gt_label,pred_label,pred_score,x1,y1,x2,y2,area,mean_score,max_score,threshold,map_min,map_max,map_mean,candidate_rank,candidate_available,crop_path,crop_x1,crop_y1,crop_x2,crop_y2,image_width,image_height,error,gt_binary,context_name,context_scale,square_context,context_crop_path,context_x1,context_y1,context_x2,context_y2,context_width,context_height,clip_backend,context_normal_score,context_anomaly_score,context_vlm_margin
MVTec AD 2,vial,0,0,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000372_000_shift_4.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib/vial_folder/ground_truth/bad/000372_000_shift_4.png,True,True,1.0,599,1230,807,1688,71538,0.7496605515480042,1.0,0.5921568870544434,0.0,1.0,0.1329369395971298,1,True,results/stage10_dataset_expansion/stage10_d_patchcore_candidate_crops/bad/000372_000_shift_4_cand1.png,545,1176,861,1742,1400,1900,,1,context_0.20,0.2,False,results/stage10_dataset_expansion/stage10_f_multiscale_context_crops/bad/context_0.20/000372_000_shift_4_cand1_context_0.20.png,557,1138,849,1780,292,642,open_clip:ViT-B-32/openai,0.25623419880867004,0.2561855912208557,-4.8607587814331055e-05
MVTec AD 2,vial,0,0,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000372_000_shift_4.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib/vial_folder/ground_truth/bad/000372_000_shift_4.png,True,True,1.0,599,1230,807,1688,71538,0.7496605515480042,1.0,0.5921568870544434,0.0,1.0,0.1329369395971298,1,True,results/stage10_dataset_expansion/stage10_d_patchcore_candidate_crops/bad/000372_000_shift_4_cand1.png,545,1176,861,1742,1400,1900,,1,context_0.50,0.5,False,results/stage10_dataset_expansion/stage10_f_multiscale_context_crops/bad/context_0.50/000372_000_shift_4_cand1_context_0.50.png,495,1001,911,1900,416,899,open_clip:ViT-B-32/openai,0.27237531542778015,0.27139461040496826,-0.0009807050228118896
MVTec AD 2,vial,0,0,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000372_000_shift_4.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib/vial_folder/ground_truth/bad/000372_000_shift_4.png,True,True,1.0,599,1230,807,1688,71538,0.7496605515480042,1.0,0.5921568870544434,0.0,1.0,0.1329369395971298,1,True,results/stage10_dataset_expansion/stage10_d_patchcore_candidate_crops/bad/000372_000_shift_4_cand1.png,545,1176,861,1742,1400,1900,,1,context_1.00,1.0,False,results/stage10_dataset_expansion/stage10_f_multiscale_context_crops/bad/context_1.00/000372_000_shift_4_cand1_context_1.00.png,391,772,1015,1900,624,1128,open_clip:ViT-B-32/openai,0.2628074884414673,0.26380762457847595,0.001000136137008667
MVTec AD 2,vial,0,0,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000372_000_shift_4.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib/vial_folder/ground_truth/bad/000372_000_shift_4.png,True,True,1.0,599,1230,807,1688,71538,0.7496605515480042,1.0,0.5921568870544434,0.0,1.0,0.1329369395971298,1,True,results/stage10_dataset_expansion/stage10_d_patchcore_candidate_crops/bad/000372_000_shift_4_cand1.png,545,1176,861,1742,1400,1900,,1,context_1.50,1.5,False,results/stage10_dataset_expansion/stage10_f_multiscale_context_crops/bad/context_1.50/000372_000_shift_4_cand1_context_1.50.png,287,543,1119,1900,832,1357,open_clip:ViT-B-32/openai,0.25836485624313354,0.2536749839782715,-0.0046898722648620605
MVTec AD 2,vial,0,0,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000372_000_shift_4.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib/vial_folder/ground_truth/bad/000372_000_shift_4.png,True,True,1.0,599,1230,807,1688,71538,0.7496605515480042,1.0,0.5921568870544434,0.0,1.0,0.1329369395971298,1,True,results/stage10_dataset_expansion/stage10_d_patchcore_candidate_crops/bad/000372_000_shift_4_cand1.png,545,1176,861,1742,1400,1900,,1,square_context_1.00,1.0,True,results/stage10_dataset_expansion/stage10_f_multiscale_context_crops/bad/square_context_1.00/000372_000_shift_4_cand1_square_context_1.00.png,16,772,1390,1900,1374,1128,open_clip:ViT-B-32/openai,0.2762402296066284,0.2725425064563751,-0.003697723150253296
MVTec AD 2,vial,0,0,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000372_000_shift_4.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib/vial_folder/ground_truth/bad/000372_000_shift_4.png,True,True,1.0,603,544,678,854,11867,0.6017970442771912,0.6235294342041016,0.5921568870544434,0.0,1.0,0.1329369395971298,2,True,results/stage10_dataset_expansion/stage10_d_patchcore_candidate_crops/bad/000372_000_shift_4_cand2.png,566,507,715,891,1400,1900,,1,context_0.20,0.2,False,results/stage10_dataset_expansion/stage10_f_multiscale_context_crops/bad/context_0.20/000372_000_shift_4_cand2_context_0.20.png,588,482,693,916,105,434,open_clip:ViT-B-32/openai,0.2521073520183563,0.2550516724586487,0.0029443204402923584
MVTec AD 2,vial,0,0,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000372_000_shift_4.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib/vial_folder/ground_truth/bad/000372_000_shift_4.png,True,True,1.0,603,544,678,854,11867,0.6017970442771912,0.6235294342041016,0.5921568870544434,0.0,1.0,0.1329369395971298,2,True,results/stage10_dataset_expansion/stage10_d_patchcore_candidate_crops/bad/000372_000_shift_4_cand2.png,566,507,715,891,1400,1900,,1,context_0.50,0.5,False,results/stage10_dataset_expansion/stage10_f_multiscale_context_crops/bad/context_0.50/000372_000_shift_4_cand2_context_0.50.png,566,389,716,1009,150,620,open_clip:ViT-B-32/openai,0.27355003356933594,0.27534088492393494,0.001790851354598999
MVTec AD 2,vial,0,0,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000372_000_shift_4.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib/vial_folder/ground_truth/bad/000372_000_shift_4.png,True,True,1.0,603,544,678,854,11867,0.6017970442771912,0.6235294342041016,0.5921568870544434,0.0,1.0,0.1329369395971298,2,True,results/stage10_dataset_expansion/stage10_d_patchcore_candidate_crops/bad/000372_000_shift_4_cand2.png,566,507,715,891,1400,1900,,1,context_1.00,1.0,False,results/stage10_dataset_expansion/stage10_f_multiscale_context_crops/bad/context_1.00/000372_000_shift_4_cand2_context_1.00.png,528,234,753,1164,225,930,open_clip:ViT-B-32/openai,0.27216801047325134,0.27477869391441345,0.0026106834411621094
MVTec AD 2,vial,0,0,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000372_000_shift_4.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib/vial_folder/ground_truth/bad/000372_000_shift_4.png,True,True,1.0,603,544,678,854,11867,0.6017970442771912,0.6235294342041016,0.5921568870544434,0.0,1.0,0.1329369395971298,2,True,results/stage10_dataset_expansion/stage10_d_patchcore_candidate_crops/bad/000372_000_shift_4_cand2.png,566,507,715,891,1400,1900,,1,context_1.50,1.5,False,results/stage10_dataset_expansion/stage10_f_multiscale_context_crops/bad/context_1.50/000372_000_shift_4_cand2_context_1.50.png,490,79,790,1319,300,1240,open_clip:ViT-B-32/openai,0.2490018606185913,0.24981234967708588,0.0008104890584945679
MVTec AD 2,vial,0,0,datasets/MVTec_AD_2_anomalib/vial_folder/test/bad/000372_000_shift_4.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib/vial_folder/ground_truth/bad/000372_000_shift_4.png,True,True,1.0,603,544,678,854,11867,0.6017970442771912,0.6235294342041016,0.5921568870544434,0.0,1.0,0.1329369395971298,2,True,results/stage10_dataset_expansion/stage10_d_patchcore_candidate_crops/bad/000372_000_shift_4_cand2.png,566,507,715,891,1400,1900,,1,square_context_1.00,1.0,True,results/stage10_dataset_expansion/stage10_f_multiscale_context_crops/bad/square_context_1.00/000372_000_shift_4_cand2_square_context_1.00.png,176,234,1106,1164,930,930,open_clip:ViT-B-32/openai,0.27627721428871155,0.27171194553375244,-0.0045652687549591064
