image_id,dataset,category,split,path,width,height,sha256,bytes
7799424fdb56993ee7d6453f,AD2,can,train,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/train/good/000_regular.png,2232,1024,98c6694872f2e3da345edda66eba8f730e97d15bfcd0d169052a726f04f1cc92,2358006
8ec882f5654d3aa899b5bc0c,AD2,can,train,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/train/good/001_regular.png,2232,1024,ef2b94b515e32dfa92d66f84093a5ab5922563f98fb34fd54f348b1c419eda36,2098885
d0437c74fecdd2358a74788e,AD2,can,train,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/train/good/002_regular.png,2232,1024,74f00be58d31f2ead4f1b95508698ec75bd137613160ae599b2835fee9e99255,2524703
78d374cd8e91ad006045f079,AD2,can,train,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/train/good/003_regular.png,2232,1024,66d38c9747d359a2a915b362c8fe8a4d010c60abb7f26a995be34c99401e77e7,2398103
9143149027d57b05aa000308,AD2,can,train,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/train/good/004_regular.png,2232,1024,dc98567004c45e6c00577429b1a1db1438263ca15d463b6f3044b57faa2ea678,2143883
4e180ca0a4ae0f988ca1b27b,AD2,can,train,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/train/good/005_regular.png,2232,1024,f6837b5df5275e040ae859aaec72c19950ba1e276c0a6b95ff98016c318c7891,2090310
9e254d1ea40de8d40edaccb1,AD2,can,train,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/train/good/006_regular.png,2232,1024,3434c6401ef3ac689343bce53e5e5db37b7d2ce4530f31b9d4902fc86e6c702d,2257720
f0952519723c402dc261a5d5,AD2,can,train,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/train/good/007_regular.png,2232,1024,b92db0737b1a9344e896ab96ede26bc3cfd503373519a91d43a15141e74b12e6,2295248
1cd84c6e7e48f346b3682000,AD2,can,train,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/train/good/008_regular.png,2232,1024,91abf36cbafca7ac898693b054ab2f152383fef411010f160a4bc527b0ce0ed5,2205939
2d6ec94e11a6a9f1def1a304,AD2,can,train,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/train/good/009_regular.png,2232,1024,a73b206d234c513c7cd283422d9cb105c68a916f8894f73222bdf09be8f99ce0,2404681
a38c9b981866914166bba4a7,AD2,can,train,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/train/good/010_regular.png,2232,1024,5e19bf60844e4aba69f38dd5ea956349cfe72fbf807834061efed59499083442,2331983
0d08c5f0ffd0ab11e4b31881,AD2,can,train,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2/can/train/good/011_regular.png,2232,1024,a0a3c542aaa95a50823ca74eeb53b0cf9d57595df2b6cb064ef1bba302107793,2135513
