case_type,case_rank,category,image_path,Y,D,M,Q,score_D0,score_V3,score_V4,score_V6,score_S1,srb_pre_gate,srb_weight,delta_srb_detector,delta_srb_naive,delta_srb_old_quality,naive_damage_vs_detector,detector_vlm_disagreement
largest_srb_gain_over_detector,1,toothbrush,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/toothbrush/test/good/002.png,0,0.1021606464231837,0.4562703831389932,0.9450825524801404,0.1021606464231837,0.2792155147810885,0.272951213575863,0.272951213575863,0.1639892183503492,1,0.1746028575791068,0.06182857192716548,-0.11522629643073934,-0.10896199522551381,-0.17705486835790482,0.3541097367158095
largest_srb_gain_over_detector,2,zipper,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/zipper/test/good/000.png,0,0.041862982486535,0.51532559753538,1.0,0.041862982486535,0.2785942900109575,0.2785942900109575,0.2785942900109575,0.1029637020908151,1,0.1290507796438723,0.061100719604280096,-0.17563058792014238,-0.17563058792014238,-0.23673130752442248,0.473462615048845
largest_srb_gain_over_detector,3,hazelnut,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/hazelnut/test/good/025.png,0,0.0223952605108268,0.3818135640066016,0.9295317073403936,0.0223952605108268,0.2021044122587142,0.1953779747662581,0.1953779747662581,0.0832904613219525,1,0.1694270998968239,0.060895200811125705,-0.1188139509367617,-0.11208751344430559,-0.1797091517478874,0.3594183034957748
largest_srb_gain_over_detector,4,grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/good/002.png,0,0.0256554309144193,0.3168087922397781,0.9653449724147936,0.0256554309144193,0.1712321115770987,0.1684873572185223,0.1684873572185223,0.0858391030607,1,0.2067078046851964,0.0601836721462807,-0.0853930085163987,-0.08264825415782229,-0.1455766806626794,0.2911533613253588
largest_srb_gain_over_detector,5,metal_nut,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/good/010.png,0,0.1686249223188495,0.5476713293029748,0.9136598157885982,0.1686249223188495,0.3581481258109121,0.3463266149460816,0.3463266149460816,0.228576866524374,1,0.1581651826818012,0.05995194420552449,-0.1295712592865381,-0.11774974842170757,-0.1895232034920626,0.3790464069841253
largest_srb_gain_over_detector,6,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/good/005.png,0,0.077290548290175,0.3852051635872782,0.9394883058800684,0.077290548290175,0.2312478559387266,0.2254205016806237,0.2254205016806237,0.136971346136916,1,0.193822556260136,0.059680797846741004,-0.0942765098018106,-0.08844915554370769,-0.1539573076485516,0.3079146152971032
largest_srb_gain_over_detector,7,zipper,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/zipper/test/good/023.png,0,0.0774436574172177,0.4191571027151442,0.9156753768390652,0.0774436574172177,0.248300380066181,0.23946406388326,0.23946406388326,0.1370613910619735,1,0.1744670409230675,0.05961773364475578,-0.1112389890042075,-0.10240267282128651,-0.1708567226489633,0.3417134452979265
largest_srb_gain_over_detector,8,carpet,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/carpet/test/good/022.png,0,0.0,0.3869225760589758,0.9082992040820352,0.0,0.1934612880294879,0.1845910109836785,0.1845910109836785,0.0595468826504418,1,0.153898703086701,0.0595468826504418,-0.1339144053790461,-0.1250441283332367,-0.1934612880294879,0.3869225760589758
largest_srb_gain_over_detector,9,toothbrush,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/toothbrush/test/good/009.png,0,0.0420807760914186,0.38221484555953,0.91135029732656,0.0420807760914186,0.2121478108254743,0.2036770027214175,0.2036770027214175,0.1013711344744408,1,0.1743146709053231,0.05929035838302219,-0.1107766763510335,-0.10230586824697671,-0.17006703473405568,0.3401340694681114
largest_srb_gain_over_detector,10,bottle,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/bottle/test/good/013.png,0,0.0,0.3558670409678235,0.8985191508579781,0.0,0.1779335204839117,0.1689050981091434,0.1689050981091434,0.0588118228015892,1,0.1652634721148756,0.0588118228015892,-0.1191216976823225,-0.1100932753075542,-0.1779335204839117,0.3558670409678235
