case_type,case_rank,category,image_path,Y,label_orientation,D,M,Q,score_D0,score_V3,score_V4,score_V6,score_S1,srb_pre_gate,srb_weight,srb_benefit_vs_detector,srb_benefit_vs_naive,srb_benefit_vs_old_quality,naive_harm_vs_detector,old_quality_harm_vs_detector,vlm_directional_advantage,detector_vlm_disagreement
srb_success_vs_detector,1,cable,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/cable_swap/010.png,1,1.0,0.2644474611462686,0.527592191446182,0.9835317783534124,0.2644474611462686,0.3960198262962253,0.3938477000092891,0.3938477000092891,0.323249140584222,1,0.2234575602974663,0.05880167943795339,-0.07277068571200329,-0.0705985594250671,-0.13157236514995668,-0.1294002388630205,0.26314473029991337,0.26314473029991337
srb_success_vs_detector,2,tile,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/oil/014.png,1,1.0,0.503736574857466,0.7951622638005491,0.9279482163082428,0.503736574857466,0.6494494193290076,0.6351262044712063,0.6516870548579806,0.5616085195498992,1,0.1985821665286887,0.057871944692433175,-0.08784089977910836,-0.07351768492130706,-0.14571284447154154,-0.13138962961374023,0.29142568894308307,0.29142568894308307
srb_success_vs_detector,3,cable,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/cable_swap/004.png,1,1.0,0.2873448188977135,0.7095436453893224,0.8779540182678789,0.2873448188977135,0.4984442321435179,0.4767949944476859,0.4767949944476859,0.3440478242295023,1,0.1343040334881551,0.05670300533178879,-0.1543964079140156,-0.1327471702181836,-0.2110994132458044,-0.1894501755499724,0.42219882649160884,0.42219882649160884
srb_success_vs_detector,4,metal_nut,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/metal_nut/test/scratch/003.png,1,1.0,0.6835623033382301,0.9912883141314928,0.8648199495541753,0.6835623033382301,0.8374253087348613,0.8039247076571985,0.8243868839645884,0.7384895823891254,1,0.1784941055496174,0.05492727905089534,-0.09893572634573589,-0.06543512526807305,-0.15386300539663122,-0.12036240431896839,0.30772601079326267,0.30772601079326267
srb_success_vs_detector,5,tile,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/tile/test/rough/009.png,1,1.0,0.5360941410695625,0.7833348809136932,0.9402235873576912,0.5360941410695625,0.6597145109916278,0.6480082737219752,0.6669796271172281,0.5906345055688186,1,0.2205961870751567,0.05454036449925603,-0.06908000542280923,-0.057373768153156646,-0.12362036992206527,-0.11191413265241268,0.24724073984413064,0.24724073984413064
srb_failure_vs_detector,1,capsule,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/capsule/test/crack/001.png,1,1.0,1.0,0.5843307759685059,1.0,1.0,0.792165387984253,0.792165387984253,0.8092375107714508,0.9351468600322178,1,0.1560210287853027,-0.06485313996778219,0.14298147204796485,0.14298147204796485,0.20783461201574704,0.20783461201574704,-0.4156692240314941,0.4156692240314941
srb_failure_vs_detector,2,toothbrush,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/toothbrush/test/defective/022.png,1,1.0,1.0,0.6682457173584574,1.0,1.0,0.8341228586792286,0.8341228586792286,0.8564504756176246,0.9352477562992624,1,0.19518133476728,-0.06475224370073762,0.10112489762003374,0.10112489762003374,0.16587714132077136,0.16587714132077136,-0.3317542826415426,0.3317542826415426
srb_failure_vs_detector,3,grid,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/grid/test/thread/010.png,1,1.0,0.7381157119309654,0.3627904639045749,0.971493842237608,0.7381157119309654,0.5504530879177701,0.5478676473680814,0.5478676473680814,0.6743614764937909,1,0.1698639667126568,-0.06375423543717451,0.12390838857602071,0.1264938291257095,0.18766262401319522,0.190248064562884,-0.37532524802639045,0.37532524802639045
srb_failure_vs_detector,4,cable,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/cable/test/missing_cable/006.png,1,1.0,1.0,0.5585862575955693,1.0,1.0,0.7792931287977847,0.7792931287977847,0.7948940591565159,0.9364333664174088,1,0.1440069202112656,-0.06356663358259118,0.15714023761962415,0.15714023761962415,0.22070687120221533,0.22070687120221533,-0.44141374240443065,0.44141374240443065
srb_failure_vs_detector,5,bottle,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/bottle/test/contamination/011.png,1,1.0,0.5671046079943992,0.2594996207283322,1.0,0.5671046079943992,0.4133021143613657,0.4133021143613657,0.4133021143613657,0.5035992489403891,1,0.206451005942502,-0.06350535905401011,0.09029713457902339,0.09029713457902339,0.1538024936330335,0.1538024936330335,-0.307604987266067,0.307604987266067
