image_id,dataset,category,split,path,width,height,sha256,bytes
0004e7d4b3616fab23ab1947,VisA,pcb4,train,/root/private_data/iad-vlm-anomaly/datasets/VisA/pcb4/Data/Images/Normal/0028.JPG,1358,1104,9026b34c8334b441aec08d04d745c764ac34095fc4b32a68d4fc78a3bdd815f5,193351
000c94f0bfc092125a1218e7,VisA,chewinggum,train,/root/private_data/iad-vlm-anomaly/datasets/VisA/chewinggum/Data/Images/Normal/328.JPG,1342,1118,bf9f8b56df6dd567ab5ea3cab8af94386fa25992637f4194f0b0179953ffa92c,145317
000cfb9b37c105c1aadec1c4,VisA,capsules,train,/root/private_data/iad-vlm-anomaly/datasets/VisA/capsules/Data/Images/Normal/061.JPG,1500,1000,659ed7bb4676d0336b0f0283a12fd8ec8cb292d47153b8e68db072a3d49953b3,245838
001e904e67eaa84ce06b34c2,VisA,pcb4,train,/root/private_data/iad-vlm-anomaly/datasets/VisA/pcb4/Data/Images/Normal/0362.JPG,1358,1104,1547537f9f0b184ec1500ecf827fb818658a71aec68ee405f170de6561a552e5,238667
001fc3605ac5b78b9d673f07,VisA,pcb2,train,/root/private_data/iad-vlm-anomaly/datasets/VisA/pcb2/Data/Images/Normal/0837.JPG,1404,1070,8234c414ab90f31a5958907fe9c581b02363b48b9ee3d7adf7e73756eb47e3d0,260937
004a742a52dedce3bd7edce3,VisA,pcb4,train,/root/private_data/iad-vlm-anomaly/datasets/VisA/pcb4/Data/Images/Normal/0828.JPG,1358,1104,885aecbbc2485d42413ee8a5b57002e5fca44dca91af98dd11a10f59c5b83902,226580
004c7fcb109e0cfd6822a27e,VisA,pcb2,train,/root/private_data/iad-vlm-anomaly/datasets/VisA/pcb2/Data/Images/Normal/0033.JPG,1404,1070,0f42ae4430752178e43fe82d9c85629dfa2c062baea942c69755eee42b593032,266105
004cb759f1e6b321263f5444,VisA,pcb1,train,/root/private_data/iad-vlm-anomaly/datasets/VisA/pcb1/Data/Images/Normal/0908.JPG,1404,1070,29c01fbbcf19069e12a8b84db9ffe0f59b30151b5648d60b81918883ed4098a1,259356
004f810bb73a4f3097832c19,VisA,macaroni2,train,/root/private_data/iad-vlm-anomaly/datasets/VisA/macaroni2/Data/Images/Normal/0206.JPG,1500,1000,a0cf65df96e9cfe0557ae32ec6292c795e552136c587a516534ebd78f74b9066,130804
0053c0f3a7ae9c54515c74c7,VisA,pcb2,train,/root/private_data/iad-vlm-anomaly/datasets/VisA/pcb2/Data/Images/Normal/0221.JPG,1404,1070,a54b6f994a338e165fef7c12ee5a439f664af314e3f70425b2caf897933edd2f,260391
