dataset,category,source_split,source_image_path,source_mask_path,is_anomaly,anomaly_type,target_subset,target_label,target_image_path,target_mask_path,has_target_mask
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/000_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000000_000_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/001_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000001_001_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/002_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000002_002_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/003_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000003_003_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/004_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000004_004_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/005_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000005_005_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/006_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000006_006_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/007_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000007_007_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/008_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000008_008_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/009_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000009_009_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/010_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000010_010_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/011_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000011_011_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/012_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000012_012_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/013_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000013_013_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/014_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000014_014_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/015_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000015_015_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/016_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000016_016_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/017_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000017_017_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/018_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000018_018_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/019_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000019_019_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/020_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000020_020_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/021_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000021_021_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/022_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000022_022_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/023_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000023_023_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/024_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000024_024_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/025_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000025_025_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/026_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000026_026_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/027_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000027_027_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/028_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000028_028_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/029_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000029_029_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/030_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000030_030_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/031_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000031_031_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/032_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000032_032_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/033_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000033_033_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/034_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000034_034_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/035_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000035_035_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/036_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000036_036_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/037_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000037_037_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/038_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000038_038_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/039_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000039_039_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/040_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000040_040_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/041_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000041_041_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/042_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000042_042_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/043_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000043_043_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/044_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000044_044_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/045_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000045_045_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/046_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000046_046_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/047_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000047_047_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/048_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000048_048_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/049_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000049_049_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/050_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000050_050_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/051_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000051_051_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/052_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000052_052_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/053_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000053_053_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/054_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000054_054_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/055_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000055_055_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/056_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000056_056_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/057_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000057_057_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/058_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000058_058_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/059_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000059_059_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/060_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000060_060_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/061_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000061_061_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/062_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000062_062_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/063_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000063_063_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/064_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000064_064_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/065_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000065_065_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/066_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000066_066_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/067_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000067_067_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/068_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000068_068_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/069_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000069_069_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/070_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000070_070_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/071_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000071_071_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/072_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000072_072_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/073_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000073_073_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/074_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000074_074_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/075_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000075_075_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/076_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000076_076_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/077_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000077_077_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/078_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000078_078_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/079_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000079_079_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/080_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000080_080_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/081_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000081_081_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/082_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000082_082_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/083_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000083_083_regular.png,,False
MVTec AD 2,vial,train,datasets/MVTec_AD_2/vial/train/good/084_regular.png,,0,good,train,good,datasets/MVTec_AD_2_anomalib/vial_folder/train/good/000084_084_regular.png,,False
