category,image_id,positive_cache_ordinal,negative_y,negative_x,distance,positive_response,negative_response
candle,02bd8d596731ab3417010866,0,509,416,0.00046938657760620117,0.5598111152648926,0.5593417286872864
candle,02bd8d596731ab3417010866,1,484,425,0.0016627311706542969,5.429831027984619,5.431493759155273
candle,02bd8d596731ab3417010866,2,491,389,1.684988021850586,9.794132232666016,8.10914421081543
candle,02bd8d596731ab3417010866,3,491,389,1.9127130508422852,10.021857261657715,8.10914421081543
candle,02bd8d596731ab3417010866,4,491,389,1.7591161727905273,9.868260383605957,8.10914421081543
candle,02bd8d596731ab3417010866,5,462,391,0.0003662109375,5.426534652709961,5.426900863647461
candle,02bd8d596731ab3417010866,6,500,362,0.0009961128234863281,4.986447334289551,4.9854512214660645
candle,02bd8d596731ab3417010866,7,465,443,0.00045031309127807617,0.7134873270988464,0.7139376401901245
candle,02bd8d596731ab3417010866,8,395,389,0.00013400614261627197,0.14214909076690674,0.142283096909523
candle,02bd8d596731ab3417010866,9,491,389,1.5542917251586914,9.663435935974121,8.10914421081543
candle,02bd8d596731ab3417010866,10,491,389,1.5624408721923828,9.671585083007812,8.10914421081543
candle,02bd8d596731ab3417010866,11,486,400,0.0007786750793457031,5.15634822845459,5.155569553375244
candle,02bd8d596731ab3417010866,12,497,411,0.0004432201385498047,2.734575033187866,2.7341318130493164
candle,02bd8d596731ab3417010866,13,504,389,0.002205371856689453,5.822688579559326,5.820483207702637
candle,02bd8d596731ab3417010866,14,491,389,0.6589765548706055,8.768120765686035,8.10914421081543
candle,02bd8d596731ab3417010866,15,487,397,0.0010099411010742188,5.963530540466309,5.962520599365234
candle,02bd8d596731ab3417010866,16,487,423,0.0027284622192382812,5.082099437713623,5.084827899932861
candle,02bd8d596731ab3417010866,17,443,353,5.340576171875e-05,2.1067304611206055,2.1066770553588867
candle,02bd8d596731ab3417010866,18,491,389,1.5970230102539062,9.706167221069336,8.10914421081543
candle,02bd8d596731ab3417010866,19,472,358,0.0026984214782714844,6.071909427642822,6.069211006164551
candle,02bd8d596731ab3417010866,20,488,389,0.012030601501464844,8.012304306030273,8.000273704528809
candle,02bd8d596731ab3417010866,21,491,389,1.846693992614746,9.955838203430176,8.10914421081543
candle,02bd8d596731ab3417010866,22,488,399,0.00040149688720703125,5.471166133880615,5.470764636993408
candle,02bd8d596731ab3417010866,23,482,401,0.0004305839538574219,4.692309379577637,4.691878795623779
candle,02bd8d596731ab3417010866,24,491,389,1.9509248733520508,10.06006908416748,8.10914421081543
candle,02bd8d596731ab3417010866,25,491,389,1.0839643478393555,9.193108558654785,8.10914421081543
candle,02bd8d596731ab3417010866,26,465,423,0.00012826919555664062,2.037574052810669,2.0374457836151123
candle,02bd8d596731ab3417010866,27,491,389,1.7706670761108398,9.87981128692627,8.10914421081543
candle,02bd8d596731ab3417010866,28,491,389,1.6925067901611328,9.801651000976562,8.10914421081543
candle,02bd8d596731ab3417010866,29,471,356,0.0011572837829589844,5.2263264656066895,5.227483749389648
