dataset,category,image_path,canonical_image_path,gt_binary,patchcore_score,component_rank,candidate_available,threshold,threshold_quantile,image_width,image_height,map_width,map_height,x1,y1,x2,y2,map_x1,map_y1,map_x2,map_y2,map_area,box_area,box_area_ratio,candidate_score_mean,candidate_score_max,candidate_score_sum
MVTec AD,pill,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/pill/test/color/000.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/pill/test/color/000.png,1,0.3572571873664856,1,1,0.8427728414535522,0.97,800,800,224,224,146,400,279,522,41,112,78,146,741,16226,0.025353125,0.9153369069099426,1.0,678.2646484375
MVTec AD,pill,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/pill/test/color/000.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/pill/test/color/000.png,1,0.3572571873664856,2,1,0.8427728414535522,0.97,800,800,224,224,614,396,715,468,172,111,200,131,358,7272,0.0113625,0.860388457775116,0.8889302015304565,308.0190734863281
MVTec AD,pill,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/pill/test/color/000.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/pill/test/color/000.png,1,0.3572571873664856,3,1,0.8427728414535522,0.97,800,800,224,224,400,425,475,504,112,119,133,141,332,5925,0.0092578125,0.8761479258537292,0.9231714606285095,290.881103515625
MVTec AD,pill,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/pill/test/color/001.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/pill/test/color/001.png,1,0.9054379463195801,1,1,0.682939350605011,0.97,800,800,224,224,546,307,715,479,153,86,200,134,1506,29068,0.04541875,0.8315166234970093,1.0,1252.2640380859375
MVTec AD,pill,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/pill/test/color/002.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/pill/test/color/002.png,1,0.4811471104621887,1,1,0.7982475757598877,0.97,800,800,224,224,625,460,758,611,175,129,212,171,812,20083,0.0313796875,0.8719692826271057,0.9697920680046082,708.0390625
MVTec AD,pill,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/pill/test/color/002.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/pill/test/color/002.png,1,0.4811471104621887,2,1,0.7982475757598877,0.97,800,800,224,224,517,221,618,350,145,62,173,98,694,13029,0.0203578125,0.8889429569244385,1.0,616.9263916015625
MVTec AD,pill,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/pill/test/color/003.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/pill/test/color/003.png,1,0.8818018436431885,1,1,0.6208062171936035,0.97,800,800,224,224,278,517,479,643,78,145,134,180,1506,25326,0.039571875,0.7931153774261475,1.0,1194.4317626953125
MVTec AD,pill,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/pill/test/color/004.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/pill/test/color/004.png,1,0.8820930123329163,1,1,0.48351842164993286,0.97,800,800,224,224,150,196,325,343,42,55,91,96,1486,25725,0.0401953125,0.6664628982543945,1.0,990.3638305664062
MVTec AD,pill,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/pill/test/color/004.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/pill/test/color/004.png,1,0.8820930123329163,2,1,0.48351842164993286,0.97,800,800,224,224,353,235,372,254,99,66,104,71,20,361,0.0005640625,0.4846276640892029,0.48587262630462646,9.692553520202637
MVTec AD,pill,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/pill/test/color/005.png,/root/private_data/iad-vlm-anomaly/datasets/MVTecAD/pill/test/color/005.png,1,0.5,1,1,0.8845981359481812,0.97,800,800,224,224,492,178,715,340,138,50,200,95,1506,36126,0.056446875,0.9334070086479187,1.0,1405.7109375
