dataset,category,batch_idx,item_idx,candidate_rank,image_path,mask_path,gt_label,pred_label,pred_score,image_width,image_height,anomaly_map_height,anomaly_map_width,map_x1,map_y1,map_x2,map_y2,map_area,candidate_score_max,candidate_score_mean,candidate_score_sum,bbox_x1,bbox_y1,bbox_x2,bbox_y2,context_1p50_x1,context_1p50_y1,context_1p50_x2,context_1p50_y2,tight_crop_path,context_1p50_crop_path,tight_gt_mask_pixels,tight_candidate_mask_pixels,tight_candidate_covers_gt_ratio,tight_candidate_mask_density,context_gt_mask_pixels,context_candidate_mask_pixels,context_candidate_covers_gt_ratio,context_candidate_mask_density
MVTec AD 2,sheet_metal,0,0,0,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000180_000_overexposed.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000180_000_overexposed.png,True,True,0.6107113361358643,4224,1056,256,256,38,40,72,75,825,1.0,0.888784646987915,733.247314453125,627,165,1188,310,0,0,2030,528,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000180_000_overexposed_cand00_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000180_000_overexposed_cand00_context_1.50.png,11670.0,0.0,0.0,0.0,11670.0,3922.0,0.33607540702656385,0.0036591282280937455
MVTec AD 2,sheet_metal,0,0,1,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000180_000_overexposed.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000180_000_overexposed.png,True,True,0.6107113361358643,4224,1056,256,256,32,13,59,36,354,0.9254418611526489,0.8683566451072693,307.39825439453125,528,53,974,149,0,0,1643,293,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000180_000_overexposed_cand01_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000180_000_overexposed_cand01_context_1.50.png,11670.0,0.0,0.0,0.0,11670.0,3922.0,0.33607540702656385,0.008147087966530882
MVTec AD 2,sheet_metal,0,0,2,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000180_000_overexposed.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000180_000_overexposed.png,True,True,0.6107113361358643,4224,1056,256,256,70,235,90,244,132,0.8548479080200195,0.8388404846191406,110.72694396972656,1155,969,1485,1007,660,912,1980,1056,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000180_000_overexposed_cand02_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000180_000_overexposed_cand02_context_1.50.png,11670.0,0.0,0.0,0.0,11670.0,0.0,0.0,0.0
MVTec AD 2,sheet_metal,0,1,0,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000181_000_regular.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000181_000_regular.png,True,True,0.5817731618881226,4224,1056,256,256,41,41,71,73,675,1.0,0.8934324383735657,603.06689453125,676,169,1172,302,0,0,1916,502,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000181_000_regular_cand00_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000181_000_regular_cand00_context_1.50.png,11670.0,0.0,0.0,0.0,11670.0,3922.0,0.33607540702656385,0.004077635179532392
MVTec AD 2,sheet_metal,0,1,1,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000181_000_regular.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000181_000_regular.png,True,True,0.5817731618881226,4224,1056,256,256,23,11,58,34,543,0.9797162413597107,0.89033043384552,483.4494323730469,379,45,957,141,0,0,1824,285,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000181_000_regular_cand01_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000181_000_regular_cand01_context_1.50.png,11670.0,512.0,0.043873179091688086,0.00922722029988466,11670.0,3922.0,0.33607540702656385,0.007544629116651277
MVTec AD 2,sheet_metal,0,1,2,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000181_000_regular.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000181_000_regular.png,True,True,0.5817731618881226,4224,1056,256,256,218,24,227,31,42,0.8383731842041016,0.8312029242515564,34.9105224609375,3597,99,3746,128,3373,55,3970,172,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000181_000_regular_cand02_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000181_000_regular_cand02_context_1.50.png,11670.0,0.0,0.0,0.0,11670.0,0.0,0.0,0.0
MVTec AD 2,sheet_metal,0,2,0,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000183_000_shift_2.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000183_000_shift_2.png,True,True,0.7540854215621948,4224,1056,256,256,41,31,75,77,974,1.0,0.9453627467155457,920.7833251953125,676,127,1238,318,0,0,2081,604,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000183_000_shift_2_cand00_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000183_000_shift_2_cand00_context_1.50.png,11670.0,0.0,0.0,0.0,11670.0,5266.0,0.4512425021422451,0.004189593006418845
MVTec AD 2,sheet_metal,0,2,1,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000183_000_shift_2.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000183_000_shift_2.png,True,True,0.7540854215621948,4224,1056,256,256,214,21,230,38,222,0.9933183789253235,0.9415510296821594,209.02432250976562,3531,86,3795,157,3135,0,4191,263,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000183_000_shift_2_cand01_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000183_000_shift_2_cand01_context_1.50.png,11670.0,0.0,0.0,0.0,11670.0,0.0,0.0,0.0
MVTec AD 2,sheet_metal,0,2,2,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000183_000_shift_2.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000183_000_shift_2.png,True,True,0.7540854215621948,4224,1056,256,256,40,18,53,28,115,0.9298095703125,0.9134151339530945,105.04273986816406,660,74,875,116,338,11,1197,179,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000183_000_shift_2_cand02_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000183_000_shift_2_cand02_context_1.50.png,11670.0,0.0,0.0,0.0,11670.0,3919.0,0.3358183376178235,0.027156438826985974
MVTec AD 2,sheet_metal,0,3,0,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/test/bad/000187_001_regular.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/sheet_metal_folder/ground_truth/bad/000187_001_regular.png,True,True,0.6158413290977478,4224,1056,256,256,202,207,235,243,854,1.0,0.8924779295921326,762.1761474609375,3333,853,3878,1003,2515,628,4224,1056,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/tight/000187_001_regular_cand00_tight.png,results/stage11_mvtecad2_multicategory/stage11_c_candidate_crops/sheet_metal/context_1.50/000187_001_regular_cand00_context_1.50.png,19294.0,0.0,0.0,0.0,19294.0,0.0,0.0,0.0
