dataset,category,batch_idx,item_idx,candidate_rank,image_path,mask_path,gt_label,pred_label,pred_score,image_width,image_height,anomaly_map_height,anomaly_map_width,map_x1,map_y1,map_x2,map_y2,map_area,candidate_score_max,candidate_score_mean,candidate_score_sum,bbox_x1,bbox_y1,bbox_x2,bbox_y2,context_1p50_x1,context_1p50_y1,context_1p50_x2,context_1p50_y2,tight_crop_path,context_1p50_crop_path,tight_gt_mask_pixels,tight_candidate_mask_pixels,tight_candidate_covers_gt_ratio,tight_candidate_mask_density,context_gt_mask_pixels,context_candidate_mask_pixels,context_candidate_covers_gt_ratio,context_candidate_mask_density,gt_binary,patchcore_score,clip_backend,tight_normal_score,tight_anomaly_score,tight_vlm_margin,context_normal_score,context_anomaly_score,context_vlm_margin
MVTec AD 2,fabric,0,0,0,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fabric_folder/test/bad/000496_000_overexposed.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fabric_folder/ground_truth/bad/000496_000_overexposed.png,True,True,1.0,2448,2048,256,256,95,76,153,114,1311,1.0,0.8373511433601379,1097.767333984375,908,608,1464,912,74,152,2298,1368,results/stage11_mvtecad2_multicategory/stage11_h_fabric_candidate_crops/fabric/tight/000496_000_overexposed_cand00_tight.png,results/stage11_mvtecad2_multicategory/stage11_h_fabric_candidate_crops/fabric/context_1.50/000496_000_overexposed_cand00_context_1.50.png,920977.0,69586.0,0.0755567185716907,0.4116930140098447,920977.0,704034.0,0.7644425430819662,0.2603306335195002,1,1.0,open_clip:ViT-B-32/openai,0.27325162291526794,0.28093060851097107,0.007678985595703125,0.2953401803970337,0.3024589717388153,0.007118791341781616
MVTec AD 2,fabric,0,1,0,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fabric_folder/test/bad/000497_000_regular.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fabric_folder/ground_truth/bad/000497_000_regular.png,True,True,1.0,2448,2048,256,256,91,75,152,114,1311,1.0,0.8361712098121643,1096.220458984375,870,600,1454,912,0,132,2330,1380,results/stage11_mvtecad2_multicategory/stage11_h_fabric_candidate_crops/fabric/tight/000497_000_regular_cand00_tight.png,results/stage11_mvtecad2_multicategory/stage11_h_fabric_candidate_crops/fabric/context_1.50/000497_000_regular_cand00_context_1.50.png,920977.0,67610.0,0.0734111709630099,0.3710594485423252,920977.0,716851.0,0.7783592858453577,0.2465235363706393,1,1.0,open_clip:ViT-B-32/openai,0.2718467116355896,0.2806784510612488,0.00883173942565918,0.28969502449035645,0.2987847626209259,0.009089738130569458
MVTec AD 2,fabric,0,2,0,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fabric_folder/test/bad/000498_000_shift_1.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fabric_folder/ground_truth/bad/000498_000_shift_1.png,True,True,1.0,2448,2048,256,256,99,74,153,114,1311,1.0,0.8307809233665466,1089.15380859375,946,592,1464,912,169,112,2241,1392,results/stage11_mvtecad2_multicategory/stage11_h_fabric_candidate_crops/fabric/tight/000498_000_shift_1_cand00_tight.png,results/stage11_mvtecad2_multicategory/stage11_h_fabric_candidate_crops/fabric/context_1.50/000498_000_shift_1_cand00_context_1.50.png,920977.0,69586.0,0.0755567185716907,0.4197997104247104,920977.0,729677.0,0.7922858008397604,0.2751255580357143,1,1.0,open_clip:ViT-B-32/openai,0.2775745987892151,0.2827182114124298,0.005143612623214722,0.2924935221672058,0.295467734336853,0.002974212169647217
MVTec AD 2,fabric,0,3,0,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fabric_folder/test/bad/000500_000_shift_3.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fabric_folder/ground_truth/bad/000500_000_shift_3.png,True,True,1.0,2448,2048,256,256,102,75,151,113,1311,1.0,0.8273417353630066,1084.64501953125,975,600,1444,904,271,144,2148,1360,results/stage11_mvtecad2_multicategory/stage11_h_fabric_candidate_crops/fabric/tight/000500_000_shift_3_cand00_tight.png,results/stage11_mvtecad2_multicategory/stage11_h_fabric_candidate_crops/fabric/context_1.50/000500_000_shift_3_cand00_context_1.50.png,920977.0,62865.0,0.0682590336132172,0.4409227359443384,920977.0,680792.0,0.7392062993972706,0.2982748226453187,1,1.0,open_clip:ViT-B-32/openai,0.27800819277763367,0.2855471968650818,0.00753900408744812,0.29415613412857056,0.2975235879421234,0.0033674538135528564
MVTec AD 2,fabric,0,4,0,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fabric_folder/test/bad/000504_001_shift_1.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fabric_folder/ground_truth/bad/000504_001_shift_1.png,True,True,0.6651265621185303,2448,2048,256,256,11,4,39,31,570,1.0,0.8527733683586121,486.080810546875,105,32,373,248,0,0,775,572,results/stage11_mvtecad2_multicategory/stage11_h_fabric_candidate_crops/fabric/tight/000504_001_shift_1_cand00_tight.png,results/stage11_mvtecad2_multicategory/stage11_h_fabric_candidate_crops/fabric/context_1.50/000504_001_shift_1_cand00_context_1.50.png,373.0,0.0,0.0,0.0,373.0,0.0,0.0,0.0,1,0.6651265621185303,open_clip:ViT-B-32/openai,0.26526692509651184,0.2751251459121704,0.00985822081565857,0.2867061197757721,0.2982383966445923,0.01153227686882019
MVTec AD 2,fabric,0,4,1,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fabric_folder/test/bad/000504_001_shift_1.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fabric_folder/ground_truth/bad/000504_001_shift_1.png,True,True,0.6651265621185303,2448,2048,256,256,205,221,245,246,568,0.865209698677063,0.7950851917266846,451.6083984375,1960,1768,2343,1968,1386,1468,2448,2048,results/stage11_mvtecad2_multicategory/stage11_h_fabric_candidate_crops/fabric/tight/000504_001_shift_1_cand01_tight.png,results/stage11_mvtecad2_multicategory/stage11_h_fabric_candidate_crops/fabric/context_1.50/000504_001_shift_1_cand01_context_1.50.png,373.0,0.0,0.0,0.0,373.0,0.0,0.0,0.0,1,0.6651265621185303,open_clip:ViT-B-32/openai,0.25694265961647034,0.2704452872276306,0.013502627611160278,0.28816357254981995,0.29727500677108765,0.0091114342212677
MVTec AD 2,fabric,0,4,2,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fabric_folder/test/bad/000504_001_shift_1.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fabric_folder/ground_truth/bad/000504_001_shift_1.png,True,True,0.6651265621185303,2448,2048,256,256,234,45,247,61,145,0.7787933349609375,0.7592055797576904,110.08480834960938,2237,360,2362,488,2049,168,2448,680,results/stage11_mvtecad2_multicategory/stage11_h_fabric_candidate_crops/fabric/tight/000504_001_shift_1_cand02_tight.png,results/stage11_mvtecad2_multicategory/stage11_h_fabric_candidate_crops/fabric/context_1.50/000504_001_shift_1_cand02_context_1.50.png,373.0,0.0,0.0,0.0,373.0,0.0,0.0,0.0,1,0.6651265621185303,open_clip:ViT-B-32/openai,0.28918761014938354,0.3006703555583954,0.01148274540901184,0.28642967343330383,0.29761430621147156,0.011184632778167725
MVTec AD 2,fabric,0,5,0,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fabric_folder/test/bad/000505_001_shift_2.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fabric_folder/ground_truth/bad/000505_001_shift_2.png,True,True,0.7135185599327087,2448,2048,256,256,10,5,41,33,643,1.0,0.8424286842346191,541.681640625,95,40,393,264,0,0,840,600,results/stage11_mvtecad2_multicategory/stage11_h_fabric_candidate_crops/fabric/tight/000505_001_shift_2_cand00_tight.png,results/stage11_mvtecad2_multicategory/stage11_h_fabric_candidate_crops/fabric/context_1.50/000505_001_shift_2_cand00_context_1.50.png,373.0,0.0,0.0,0.0,373.0,0.0,0.0,0.0,1,0.7135185599327087,open_clip:ViT-B-32/openai,0.25928565859794617,0.2717078924179077,0.012422233819961548,0.2678844928741455,0.28161540627479553,0.013730913400650024
MVTec AD 2,fabric,0,5,1,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fabric_folder/test/bad/000505_001_shift_2.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fabric_folder/ground_truth/bad/000505_001_shift_2.png,True,True,0.7135185599327087,2448,2048,256,256,214,223,244,244,304,0.7948865294456482,0.7490848302841187,227.72178649902344,2046,1784,2334,1952,1614,1532,2448,2048,results/stage11_mvtecad2_multicategory/stage11_h_fabric_candidate_crops/fabric/tight/000505_001_shift_2_cand01_tight.png,results/stage11_mvtecad2_multicategory/stage11_h_fabric_candidate_crops/fabric/context_1.50/000505_001_shift_2_cand01_context_1.50.png,373.0,0.0,0.0,0.0,373.0,0.0,0.0,0.0,1,0.7135185599327087,open_clip:ViT-B-32/openai,0.2857719659805298,0.3004298806190491,0.014657914638519287,0.2716064751148224,0.2883981168270111,0.01679164171218872
MVTec AD 2,fabric,0,5,2,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fabric_folder/test/bad/000505_001_shift_2.png,/root/private_data/iad-vlm-anomaly/datasets/MVTec_AD_2_anomalib_all/fabric_folder/ground_truth/bad/000505_001_shift_2.png,True,True,0.7135185599327087,2448,2048,256,256,222,43,244,68,364,0.7779642343521118,0.750255286693573,273.0929260253906,2122,344,2334,544,1804,44,2448,844,results/stage11_mvtecad2_multicategory/stage11_h_fabric_candidate_crops/fabric/tight/000505_001_shift_2_cand02_tight.png,results/stage11_mvtecad2_multicategory/stage11_h_fabric_candidate_crops/fabric/context_1.50/000505_001_shift_2_cand02_context_1.50.png,373.0,0.0,0.0,0.0,373.0,0.0,0.0,0.0,1,0.7135185599327087,open_clip:ViT-B-32/openai,0.2594990134239197,0.27279186248779297,0.013292849063873291,0.2800869941711426,0.29494035243988037,0.014853358268737793
