category,image_id,variant,score,normal_z,delta_normal_units,peak_displacement_pixels
candle,018907bf1dcc6fa36230be24,identity,28.85478973388672,-0.052799383479362985,0.0,0.0
candle,018907bf1dcc6fa36230be24,brightness_08,28.657258987426758,-0.11857623495112449,-0.0657768514717615,240.36014644695155
candle,018907bf1dcc6fa36230be24,brightness_12,31.613122940063477,0.8657131866591429,0.9185125701385058,239.35329536064467
candle,018907bf1dcc6fa36230be24,contrast_08,29.68590545654297,0.22395841967148472,0.2767578031508477,2.23606797749979
candle,018907bf1dcc6fa36230be24,contrast_12,32.19620895385742,1.0598782106462314,1.1126775941255944,371.8736344512743
candle,03d45ac46432e3ce12e9c228,identity,33.05027389526367,1.3442780005771862,0.0,0.0
candle,03d45ac46432e3ce12e9c228,brightness_08,32.83259963989258,1.2717934511013762,-0.07248454947580998,313.0878470972644
candle,03d45ac46432e3ce12e9c228,brightness_12,34.07456588745117,1.6853626339382441,0.341084633361058,311.6167517961767
candle,03d45ac46432e3ce12e9c228,contrast_08,32.88290786743164,1.2885458649404808,-0.05573213563670546,314.0143308831621
candle,03d45ac46432e3ce12e9c228,contrast_12,35.98981475830078,2.3231319066568554,0.9788539060796692,253.67104683033892
candle,0cb264047a386dc042459bb5,identity,28.907779693603516,-0.03515396486858039,0.0,0.0
candle,0cb264047a386dc042459bb5,brightness_08,29.415987014770508,0.13407679074970447,0.16923075561828488,1.0
candle,0cb264047a386dc042459bb5,brightness_12,33.62433624267578,1.5354381841838984,1.5705921490524788,286.81875810344064
candle,0cb264047a386dc042459bb5,contrast_08,28.438669204711914,-0.19136565092082172,-0.15621168605224134,1.0
candle,0cb264047a386dc042459bb5,contrast_12,31.844520568847656,0.9427675578506169,0.9779215227191973,325.0384592629002
candle,0dda1a135de067aabc798673,identity,28.223852157592773,-0.2628987628802919,0.0,0.0
candle,0dda1a135de067aabc798673,brightness_08,29.63217544555664,0.2060665673114766,0.4689653301917685,1.0
candle,0dda1a135de067aabc798673,brightness_12,30.561492919921875,0.5155251127629057,0.7784238756431976,2.0
candle,0dda1a135de067aabc798673,contrast_08,29.496196746826172,0.16078627130687245,0.42368503418716436,3.1622776601683795
