image_id,D512_alarm,dino_top1_alarm,efficientad_alarm
01d7054b966654d2e08c7807,False,True,False
47a67640b82f2d4c91573a34,False,True,False
4816325ae3ab743965644cd4,False,True,True
8cb21fd0689cfa7211757fef,False,True,True
c3b182e14e5339623326e570,False,True,False
2ac97c1b943845b9ffbeeca0,False,True,False
504f0bbac8d01ee1fd48d495,False,False,True
155699ac3ef5ec434aa7e648,True,True,True
2872faa2a8cc4a729445f5dc,True,True,True
c1fa0543859f82e1e4b6eea8,True,True,True
c7777a8f93806e060e688b04,True,True,True
462227ba70e80735ae0750cd,True,True,True
041d4d2139cc1a04481af1d6,True,True,True
0f34726af9ad9aef1f081250,False,True,True
5a89062acc01ea32db389009,True,True,True
82fc1877033da718e347e768,True,True,True
14f60249a0d00e318aa29486,False,True,True
27cb25a6c65efbf49735e441,False,True,True
685b153e654422da48f36abc,False,True,True
f61245881493a86050d89403,False,True,True
e41384eb3ddb3c885bbfd653,True,True,True
146031f7a95717bec5ec078b,True,True,True
74c84e5186547912a5e06e7d,True,True,True
4f6ea3c33d881eafef698ca1,True,True,True
3266172dd8f1a885f00f395e,True,True,True
fa0648b32f0a073b29d54036,True,True,True
d9ba0df9a8c5d1843ec18e17,True,True,True
17237d54010a75cccd4eb663,True,True,True
c40681b5fe86508714e7bcbc,True,True,True
3fad6ce1a1f4f74fd0d23468,True,True,True
737042a269e78379e9a8585f,True,True,True
7fe729955c23bc47b609aa72,True,True,True
0a6aa795747244d800b02a8f,True,True,True
7f34b7be601669ce3d720080,True,True,True
d424924b5beb1d00a652cf59,True,True,True
4d64cbfb7202a6ad8ad59f0b,True,True,True
266d7708bf0cc0f847467994,True,True,True
e1eca7db78a580e9495a7fb3,True,True,False
b69a88540beaeae4e52c8d37,True,True,True
ba82ac5cdedabbe8028e8525,True,True,True
c939151b482f62d77aad7e7a,True,True,True
31bd56c54fa4b1b59aeff590,True,True,True
bb22f06945a158e1444b7229,True,True,True
f445ecde4c91beb32b095fa4,True,True,True
9c411be7d32772629a6ad300,False,True,True
88cca7bb1d9bbdafc4816feb,True,True,True
30aff5f7bb312ed8a3001cb2,False,True,True
3d9be93dae995e1dbb90fdb0,False,True,True
740f474dec0fd87a959b7d0b,True,False,True
9cf2728b7223015af150ce9c,True,False,True
0925b47b419b2b97f462ff62,True,True,True
e0bd0ae3a3efadd07b09d7e8,True,False,True
f416c39bc181e7aafe493e8f,True,True,True
09d3ffd8e1b0b403140ead66,True,True,True
c0772b36645a2af347a4bb19,True,True,True
cce443f9e4505a83f5ee9baf,True,True,True
74f7b5b0ce872cba4c8a021c,True,True,True
72814a99e7588eec76e47f65,True,True,True
0b7dc967156b20d1fcb47d6d,True,True,True
cae0061eb2f26601142fe131,True,True,True
26023dbc612ab8364949bcaa,True,True,True
e1b6940cf29d41e0f32f7835,True,True,True
e0b2a2cfc9d97a2b650e2059,True,True,True
c4882dbb619582164409c98e,True,True,True
8a2406dc009144510029bc68,True,True,True
e39c6c50244d0c1e4330784d,True,True,True
d898704e597648a563dc532a,True,True,True
da02b3d3718f7850da0608d2,True,True,True
a4ad101a7d9fbc2b9700f2b9,True,True,False
9bd6b355820cf2b140b69523,True,True,False
05ef19bbca6fcbdda59b6cc0,True,True,True
2eea30fbc37a2488480908f9,True,True,True
1ec138e3133583d6b080e595,True,True,True
65205fef639f7ba85a132dec,True,True,True
6b7a16128973ce175d8db9f4,True,True,True
a4d00dd1084346d51bcc001d,True,True,True
3b3ef974fa52f1ff136f89e6,True,True,True
bde87b0edf0fa7b55b0b3499,True,True,True
3fdf16088d0b7dd2ffdcdfd6,True,True,True
cd8e6887b273724f4051ed54,True,True,True
11b5e0acc3fdec77d619e613,True,False,True
bdbeb371e47504491d93ebac,True,False,False
84b46118f6a61901e3dad5d2,True,True,True
facd7de87157b0f947a75c1f,True,True,True
05f2a273b2f8321bd98a2750,True,True,True
b8c7f31b715d0dac7652e8af,True,False,False
9107ec083dcd1057cdf09d39,True,False,True
3cfdf79448d4691e83334b62,True,False,True
750d9488c3103508a32a5d63,True,True,True
d140e9032b3b8e5712cef49d,True,True,True
3dbabd8bec52570e74a505db,True,True,True
7be33dcf3bc5ca6bca5ac831,True,False,True
54713abdd7dcb471db0297b4,False,False,True
2528083cc271c79549a7c42a,False,False,False
76d2790a01240141cddd45ba,True,True,True
703d696269e1ee1a0bdcdc9f,True,True,True
c317ea57c250cad10195849c,True,True,True
076d95358f6d39c2af42e9ec,False,False,False
cadabc0c8fd6c500b80bd958,True,True,True
ac686438bbd1e02ffb772a4a,True,True,True
f26867f54bd62fbc71817e9b,True,True,True
fcfe0902449d5644413e53d1,True,True,True
bcc491f9fe22d70969dd1953,True,True,True
b58ecee733f6e01e044dfc7d,True,True,True
c047c0d640497d025939479a,True,True,True
90bc84f93fc361efbb774515,True,True,True
048fea4848bd131ef51695b0,True,True,True
7b57165b0c1cfd96c17cfe5b,True,True,True
9509339882e393692c73f91d,True,True,True
4b40ddcb505fc90bc899d7ac,True,True,True
2a9caad55750b3a831e3c6b1,True,True,True
e20ac1a68607362b8fd9f6c6,True,True,True
c886eea4d7da673c5a3bf205,True,True,True
e6853996cd56e9dc7788260e,True,True,True
ae6a5521ae84bc1178464a15,True,True,True
edc64a739db7b397d837e7ed,True,True,True
68b90c56100cd535e2597e81,True,True,True
2fb30a4e68e030ecee938822,True,True,True
eabb63072fa6ebe30133e8a0,True,True,True
789749265171dff481f175fd,True,True,True
6f755d2b326fa7ea7f77826a,True,True,True
4aaa50d3376c7c5e554b32e3,True,True,True
dfd2b02a52f83d8506065cad,True,True,True
93a3d9413dc812113e800008,True,True,True
6c06ce0004bb77bf3286146a,True,True,True
6814f9278c1876d88e5afc90,True,True,True
ed337729b3bcf5e03c94c73b,True,True,True
f3eabf0bbd39cbb92b1f95a0,True,True,True
ec7ebd4b1b4487eef9515b9b,True,True,True
4a71b2ce5aaac7f706a95986,True,True,True
641a494d63ac094d521794ea,True,True,True
e78033eac4b6d95bb53b2188,True,True,True
38df0a73347a1b6bee3a41a7,True,True,True
8a85e0b98c1c5c056d7d0370,True,True,True
7c6d80e6f65fe11c95c0b21c,True,True,True
fa3337c909b0b54902122fbe,False,True,True
b53f0384a93a7965952cd8ad,True,True,True
6ee2e77d7dc4c33fa2fc09ca,True,True,True
7e078f6d03a4f522b7f43332,True,True,True
21da16822facbd11fd2d6d21,False,True,True
ec01a02c43014fc6730cb75b,False,True,True
c23aa34f9dbe6d0d9e4dad30,True,True,True
21bb5c570139e550e66e0a2b,True,True,True
e02f43ac9ec7500a9b06862b,True,True,True
2570ec1ec199430f1832682b,True,True,True
2887db27ad9866db4505482a,False,True,True
0462d03584442beb56ce3007,True,True,True
727bf51b668ac1559060aedb,True,True,True
c91a2ccc4c36c1cd4596db31,True,True,True
91244915bef83cd9bcff29b6,True,True,True
950746624ac5e3479399bce7,True,True,True
3266f22024206b6054c84bb1,True,True,True
8fa3f0ce6a26b99a42a3f21c,True,True,True
be7ce52c0e4720ee15742b9c,True,True,True
f46f3b110f5e9be69e7d08b8,True,True,True
ec8f29a247365d62f0e7241f,True,True,True
2b84d6f74ca188f729f9778c,True,True,True
768e9726aefabec1bf5ff545,True,True,True
2176e4198610008303c38afd,True,True,True
978700474dec6483eba5404a,True,True,False
72f6374e9230e57aff74f7c8,True,True,True
40103fa106f396228bd024e2,True,True,True
a5b8bcdbb4fc51deed3da6cc,True,True,True
8900dc2992416e68ebe0376d,True,False,False
156c09badc34dd8434c7f0cf,True,True,True
45e8c5a602c1e424a504c910,True,True,True
527a328eb116aa0a8fc2bed0,True,True,True
d759b447af9929c3f8eb3a7a,True,True,True
76f163961fdef0974918d682,True,True,True
8cc1c4aec512ab4ac0483892,True,True,False
bea7cc81d7eb9e0a73113e0e,True,True,True
636413381b27bf232dfc81dc,True,True,True
78e4c61acc86b30fdfeec884,True,True,True
790ff7e272777ab396a40774,True,True,True
dc51891230c5f68f0d2b7798,True,True,True
02dea521dfcb617029f8c08f,True,True,True
2af3837478436db18f3ed55d,True,False,True
35d6264bb9201cdc868cfc9a,True,False,True
0465056ef7eb5a7a129b3dc5,True,True,True
ca474e12007784f279eb1dbc,True,True,True
f84bec0e51f18392c122405e,True,True,True
298a39c8400f68e7e5705684,True,False,False
c51c179f6bf4eed9b3321539,True,True,True
fbbb8d32911c261e65269e6a,True,True,True
ecef6defe9755b772f9b9f42,True,True,True
6345a21fe37be30d96fb9428,True,True,True
aaa9917f37d46dca1b537b31,True,True,True
e7462263ee482282944bbd73,True,True,True
91767fc5f036238461f81a96,True,True,True
873afdd0a95e806bdf5024e8,True,True,True
0c64f2fa1ba68c7f9b62805f,True,True,True
5dd6d47fc527b6bd1048a5e0,True,True,True
d2e3e79e1c3f22f562208163,True,True,True
cda504807d17084bd27ddb9e,True,True,True
ec21eb5e1f6bfd2d691c4289,True,True,False
826ba0f60ec9ad1621eb679a,True,False,False
2f8061163881c4490c808c4b,True,True,False
7246fce894bb5b9b01fbf13c,True,False,False
3b48d1a281c87c5d12e1a5e7,True,False,False
9533c585cf5471187287b03c,True,True,False
c88e7509e672d728ab549050,True,True,True
406f57d8867a8f9920294544,False,True,False
08ae6fcb88666f88ae489912,False,False,False
0185a3fdb102b48e22215d2d,True,False,True
2ad0635bf750de3b2b16aa22,False,False,False
6af934a9e45662a7f04d930d,False,False,False
86478bd06aa3e7efccc76002,True,False,True
ad59bb863db2154b428ebc47,False,True,True
b7021f99753ea53f37c799b8,False,True,False
fd82742651178b97761094be,False,False,False
e6b7edf7d0731e35c3fa6f9e,True,True,True
373d0b88d00bc88858ef0d2d,False,False,False
c701bf3595d4755983d1798e,True,False,False
1501ac279238e42c9ea45e67,True,True,True
0fbebf6c186c586b6d825910,False,True,False
5bf04a00746d90ae7a2c3212,True,True,True
2b8968c31befe61a607abbaa,True,False,False
7542eabcedc3c554efcfe88e,True,False,True
38d4b2228bbeccd48115cc2c,True,False,False
13a51d3d101318f4455bbc0c,True,False,False
c60d252433b69df4ca729844,True,False,True
ea20ba2cd8290cb43b8f3364,True,True,True
a2052d7fb230e36852810e0d,True,True,False
5edb2a00a6a9fbd6077f5c5b,False,False,False
7a80f9bb0c32c99b7c7e22a6,True,False,True
0a397b8eadd70343e46b0a4a,True,False,False
130ef5a5726f105960e89bf1,True,False,False
1175d5ab627c9c8827629b6b,True,False,True
80a6a75554772bdba4db23db,True,True,False
b0f74afa216fab8cb3eb3ea9,True,True,True
e57c9d7d25e1bc8373a8dbec,True,True,True
f974fb1cee8ee3383fb1f2aa,True,True,True
2d925ec69a44caf8b8c49d2a,True,True,True
4210f14261589f73cc351627,True,True,True
5e654463cec9c5410617249a,True,True,True
4368a46c1df78640b7c5ba2d,True,True,True
af92f760794c2fe1f8e29066,True,True,True
c57c21ac2a596017b12adf4f,True,True,True
ab16ea141ffd570cc9aef9db,True,True,True
5162442239d7cbe550815333,True,True,True
23a75855fcd17d7ff38cd713,True,True,True
93cdfad114c923566adb97f6,True,True,True
236b5357662685a73021a3a6,True,True,True
100f041e93322a67965ddcd7,True,True,True
393fa49d814901fb3b57921b,True,True,True
094070e454df1dc07f4c9e7e,True,True,True
212a5aa24fd1af4de2722aed,True,True,True
5485d8cc58bc644c9c5de1ef,True,True,True
472d07a4e18ce4fbf68a561c,True,True,True
d02cc10c6d262a13a5babc6f,True,True,True
0fb19517f975ee2c743dea75,True,True,True
45a2ffeaa8d4dc8cd6468205,True,True,True
6cb29e03c77299c1e0cd7546,True,True,True
32a6db5684114ea33f29a208,True,True,True
08d251edd13fcdd8e713f586,True,True,True
8843c6650bc667eb577d416a,True,True,True
d3af413ccd8f1e1f5531c9c7,True,True,True
163f21cdd3b13dcc4ed289de,True,True,True
d346c04047927ce3be5464f4,True,True,True
a3250ee90882d4f7565a946b,True,True,True
505b193495cc0414bc628044,True,True,True
d283397b0a78058c7a339df8,True,True,False
d1b8686ad4601d41cd464122,True,True,True
4e204994de3f8a049e680efe,True,True,True
bc4dc1223c28bd9f8676ffbb,True,True,True
948092a137c45739988d1670,True,True,True
5fa9afc184f8bfe730384a41,True,True,True
739e090bf2920a95bccad43c,True,True,True
2eda804c7dbf249ba6f8fee3,True,True,True
9e5b7d970e9952201221d79b,True,True,True
69e1e2c8109ec9641ef8e674,True,True,True
f9a5ba3c85652e0775e2f12c,True,True,True
620719d7978366fde50f2fa8,True,True,False
f4af84d8072f034fcbd1fb90,True,True,True
53b36875d3fd5edb96b02eed,True,True,False
1720848d1bf41b2eb6beb7bb,True,True,False
0ddda664e34d703e38ea685e,True,True,True
88060e63e76ca949dc970610,True,True,True
330563a8dd047ff0f385cac8,True,True,True
487fb961815dd230cf9d9efd,True,True,True
9179b2c64d09fd17c791545d,True,True,True
9a32f77392d1387bad6687be,True,True,True
85d4e2cbbb7467a2c84cf0eb,True,True,True
37726e828c5a58652587e655,True,True,True
9ed1281a703f8052c992344a,True,True,True
adbc7959bdf6493a6609e536,True,True,True
f299dd2174f70164c5878b71,True,False,True
1eb7cf8c85b18f924fa51b8a,True,True,True
e293294ad3c63518fc23cea3,True,True,True
f4f56aed4474a41977befbad,True,True,True
6ff40ba099543719f9f0a796,True,True,True
79c0f261b5db67b050467286,True,True,True
39b149c2faaa7b719114254c,True,True,True
e9ce570ff402a4f8d79a72c4,True,True,True
7f6aa1439991e87d0719a352,True,True,True
7f5ff35aac1712c0e870faf0,True,True,True
40c2fb0abbac2d9b9e9df9d2,True,True,True
251890f873978b8f6f7e85a4,True,True,True
f735c15b743190347d1a9afc,True,True,True
f459eff606a2ef1da4de747a,True,True,True
9bcc01c1dcfaed96bff123d6,True,True,True
27f8654179d453ee074b1419,True,True,True
58213cc55d7086e0a352e165,True,True,True
d3bc41e4507aa9f687b46656,True,True,True
f5ea49f36698789f5bc95be7,True,True,True
a6531679f751fd403a39f243,True,True,True
3b47ad8cb8a765b15660708a,True,True,True
2797b1ae97bd4b76dad27d67,True,True,True
bf91ce7a78453e37f4a6dd93,True,True,True
55ba2cc4a7bffb8dad5837a4,True,False,True
0fde969fcea44d171a3134b6,True,False,True
66c6c4261bf3c7f068def984,True,True,True
592d2b56993ffffdcb5e119c,True,True,True
6ad4558b0674c92ce5c7d2c3,True,True,False
5e001a90fec6100a4eb18470,True,True,True
be9a6878846f34241fabaac9,True,True,True
290ce7a033eff6b15677490c,False,True,True
d8ed75ee3b974c38f1c0ec93,True,True,True
c44b109c3804771d799d928d,True,True,True
a815daf80e340ecbe79b37f1,True,True,True
0d1c69b90036cb625a001cf3,False,True,True
ff4da645d59de511e240236e,False,False,True
0d9fc52bfe65d4cffef5dac8,True,True,True
f45314a2de1f818f40ca3137,False,False,True
5fc9c9340ccc8e39447114e3,False,True,True
a3e900328d2e89f54a67f440,True,True,True
3c78615814c63382d9b3725b,True,True,True
8446ef8810e2f22ffae97270,True,True,True
648fc6d48c352f86fc57518b,True,True,True
1d87c1cb59279216c21281c3,True,True,True
33474bed37f7f25d414dff09,True,True,True
7d329c0c342fa7b05abc495d,True,True,True
64a0546c0514860f888a899e,True,True,True
ae12ab1102e60bd2ca7d480c,True,True,True
3fd85b86376fee52dc2d1116,True,False,True
77126afb45e699a5eae8ae15,True,False,True
7ea09767b6b1e1ff7f7663c6,True,True,True
1345ea314cedc7430404dc5b,True,True,True
bce3b310232f38c0945eecdf,True,True,True
f66062f4710a570ba9825038,False,False,True
d044809c4137d715c715d0ff,False,False,True
4bddf4a4d1463709484ab691,False,False,True
9e6667f4ce4f3a3f789491df,True,True,True
6fa8dc68cafa839ce9cc4258,False,True,True
fbf0cce228bf225d4dc5452e,True,True,True
98e95834b7044fb43133ce3b,False,False,False
d222e39c97cb2de49175a21b,True,False,True
cff44691b60b6b999526ec83,True,False,True
2bacd8c57ff506ea176e0d64,True,True,True
62eb1fd1071c6f205805e6c3,True,True,True
29c2b5e20c54d5e929088309,True,True,True
4275f8f40ee29787110b8d4f,True,False,True
4554de854fb8622093cefee2,False,False,True
9f9faa8e9278c9cbc589a304,False,False,True
a68829239d7dff7df5a355dc,True,True,True
c5e17494d77b59b494c8eef2,True,True,True
34b504a2763493aaad5d6fd7,True,True,True
0141e577b394bc1acedb943a,False,False,False
58fea438cb79a8d98e19c50b,True,True,True
d28959a30428471104af2003,True,True,True
fd7dac96ef49a717f5a21ca5,True,True,True
717cff786b255e64c5443208,True,True,True
298e5fb95d07ca101aeeb178,True,True,True
0f88cf0871a9839b27ec9eb2,True,True,True
c5524495add95a67cecdbe5a,True,True,True
de8e12a8a7df5e89cb43507e,True,True,True
b26e54f1d57585abd53830bc,True,True,True
e4f2be18dfcf47ad3c70c34c,True,True,True
616747c875233c4bd9a80ec9,True,True,True
9da765e53dc67c51a65edcc1,True,True,True
5347d3fb0db6916fd74c9242,True,False,True
c0719988d416d6c2724b2d80,True,True,True
ab320f13109590a4b005d740,True,True,True
1db12506eb972e1975694f60,True,True,True
